Number,Cluster,Distance,Angle
5.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.200000000000000000e+01,3.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
6.300000000000000000e+01,2.000000000000000000e+00,1.612451549659709826e+01,2.974488129694222494e+01
6.400000000000000000e+01,2.000000000000000000e+00,1.414213562373095101e+01,-8.186989764584401996e+01
6.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.900000000000000000e+01,2.000000000000000000e+00,1.414213562373095101e+01,8.130102354155978261e+00
7.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.100000000000000000e+01,2.000000000000000000e+00,1.264911064067351809e+01,-1.843494882292200998e+01
7.200000000000000000e+01,2.000000000000000000e+00,1.077032961426900748e+01,-6.819859051364818470e+01
7.300000000000000000e+01,2.000000000000000000e+00,7.211102550927978250e+00,3.369006752597978505e+01
7.400000000000000000e+01,2.000000000000000000e+00,8.944271909999159220e+00,6.343494882292202419e+01
7.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000000e+01,2.000000000000000000e+00,1.019803902718556898e+01,-7.869006752597979926e+01
7.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000000000e+01,2.000000000000000000e+00,7.211102550927978250e+00,5.630993247402021495e+01
8.200000000000000000e+01,2.000000000000000000e+00,1.843908891458577415e+01,-4.939870535499553483e+01
8.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000000000000e+01,2.000000000000000000e+00,1.612451549659709826e+01,6.025511870305777506e+01
8.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000000e+01,2.000000000000000000e+00,1.442220510185595650e+01,-3.369006752597978505e+01
8.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+01,2.000000000000000000e+00,8.602325267042626677e+00,-5.446232220802561841e+01
9.100000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+01,-5.313010235415597293e+01
9.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.300000000000000000e+01,2.000000000000000000e+00,1.562049935181330795e+01,3.980557109226519685e+01
9.400000000000000000e+01,2.000000000000000000e+00,1.341640786499873883e+01,-6.343494882292202419e+01
9.500000000000000000e+01,2.000000000000000000e+00,1.612451549659709826e+01,-6.025511870305777506e+01
9.600000000000000000e+01,2.000000000000000000e+00,8.485281374238569541e+00,4.500000000000000000e+01
9.700000000000000000e+01,2.000000000000000000e+00,1.523154621172781731e+01,-6.680140948635181530e+01
9.800000000000000000e+01,2.000000000000000000e+00,1.720465053408525335e+01,5.446232220802561841e+01
9.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
