k x y F u v cell
204680 511.51519835 510.098588347 0.00177844506757 512.0 510.0 522752.0
204680 604.411446929 485.324215293 2.379650927e-05 604.0 485.0 497244.0
204681 511.293009639 510.698300958 0.00183195098439 511.0 511.0 523775.0
204681 101.807168126 660.575780034 3.95904935874e-05 102.0 661.0 676966.0
204682 511.525098443 510.244403958 0.00182719523144 512.0 510.0 522752.0
204683 511.254197478 510.738134027 0.00185643292382 511.0 511.0 523775.0
204684 813.180667758 372.828804612 3.05365957333e-06 813.0 373.0 382765.0
204684 160.323474526 415.304650426 2.52935330154e-05 160.0 415.0 425120.0
204684 464.479898572 499.880248189 2.55571142888e-05 464.0 500.0 512464.0
204684 511.465585828 510.381975055 0.0018761819299 511.0 510.0 522751.0
204685 502.321359992 970.008622527 7.99166614802e-06 502.0 970.0 993782.0
204685 511.214363217 510.48468864 0.00178857361438 511.0 510.0 522751.0
204686 511.792624116 510.890889049 0.00176622914816 512.0 511.0 523776.0
204686 319.682041287 803.100845933 3.71856226253e-06 320.0 803.0 822592.0
204687 511.023138642 510.392532945 0.00186373121694 511.0 510.0 522751.0
204688 511.998903155 510.490957618 0.00180049486095 512.0 510.0 522752.0
204689 511.990870357 510.425426602 0.00186378102625 512.0 510.0 522752.0
204690 511.778076768 510.77270782 0.00174205921037 512.0 511.0 523776.0
204690 1019.57871354 727.276889443 4.01284997412e-05 1020.0 727.0 745468.0
204691 511.597457528 510.134120584 0.00176347571237 512.0 510.0 522752.0
204691 261.375534892 689.436821818 1.62063781435e-05 261.0 689.0 705797.0
204692 511.334818244 510.017303109 0.00179955560711 511.0 510.0 522751.0
204692 877.881301284 151.473278642 1.75350823575e-05 878.0 151.0 155502.0
204693 321.823639274 951.799394011 4.37227666946e-06 322.0 952.0 975170.0
204693 511.883943915 510.461050391 0.00180709083231 512.0 510.0 522752.0
204693 388.892634034 210.383066773 1.41930307576e-05 389.0 210.0 215429.0
204694 293.095082402 343.265880942 2.17369288613e-05 293.0 343.0 351525.0
204694 511.100403905 510.361002564 0.00169058772711 511.0 510.0 522751.0
204695 638.088059306 118.157757163 5.93600726348e-07 638.0 118.0 121470.0
204695 511.891488433 510.065951228 0.00179093323819 512.0 510.0 522752.0
204696 568.622627854 166.458203197 7.44107717076e-05 569.0 166.0 170553.0
204696 511.221143603 510.487986207 0.00181695833289 511.0 510.0 522751.0
204696 928.297091603 196.135610461 1.41467509203e-06 928.0 196.0 201632.0
204697 511.16975534 510.945442319 0.0017916513723 511.0 511.0 523775.0
204698 511.730669379 510.212105393 0.00182096638042 512.0 510.0 522752.0
204698 4.5115185976 19.8344296217 6.27826786571e-05 5.0 20.0 20485.0
204698 464.00248301 313.713246226 6.13310586389e-05 464.0 314.0 322000.0
204698 193.225519061 990.562973619 1.05314486132e-05 193.0 991.0 1014977.0
204698 223.385144353 191.436267257 3.95104990084e-05 223.0 191.0 195807.0
204699 601.981081605 425.906986356 9.53675758853e-06 602.0 426.0 436826.0
204699 511.455239415 510.681440711 0.00180561964353 511.0 511.0 523775.0
