k x y F u v cell
614040 199.109808803 271.840525746 2.16032095333e-05 199.0 272.0 278727.0
614040 514.593237758 517.557692409 0.000937959182603 515.0 518.0 530947.0
614040 517.901488662 520.64826715 0.000265602420641 518.0 521.0 534022.0
614040 299.100216508 729.005369782 1.84447211704e-05 299.0 729.0 746795.0
614040 512.418274045 512.041037202 0.000974475515599 512.0 512.0 524800.0
614041 514.795021653 517.289374948 0.000920340861121 515.0 517.0 529923.0
614041 744.309884191 602.351139665 5.85731110011e-06 744.0 602.0 617192.0
614041 512.327499509 512.247609496 0.000959936383338 512.0 512.0 524800.0
614041 939.035584092 312.763876081 4.48669742365e-05 939.0 313.0 321451.0
614041 513.587817311 521.441409469 0.000221861692122 514.0 521.0 534018.0
614042 105.427377582 126.562941909 2.15889023875e-05 105.0 127.0 130153.0
614042 41.6691664457 212.432280183 2.36187599805e-06 42.0 212.0 217130.0
614042 514.498175263 517.819373012 0.000948512897185 514.0 518.0 530946.0
614042 512.330030799 512.635704398 0.000945602064296 512.0 513.0 525824.0
614042 514.651033998 521.854115605 0.00017969761792 515.0 522.0 535043.0
614043 514.920982242 520.746042132 0.000318686523646 515.0 521.0 534019.0
614043 514.311159492 516.463524938 0.000837247726587 514.0 516.0 528898.0
614043 512.197665572 512.076810718 0.000892529293894 512.0 512.0 524800.0
614044 515.814032197 521.594223619 0.000195249339575 516.0 522.0 535044.0
614044 514.506353498 517.303089261 0.000982974655866 515.0 517.0 529923.0
614044 511.177071452 512.088459134 0.000951407990892 511.0 512.0 524799.0
614045 512.067278981 512.40017879 0.000855396072453 512.0 512.0 524800.0
614045 514.606091619 517.73109138 0.00106378067519 515.0 518.0 530947.0
614045 821.152794242 788.839528203 5.58745069871e-05 821.0 789.0 808757.0
614045 515.839146495 521.99205792 0.000147528683232 516.0 522.0 535044.0
614046 512.352656007 512.274737716 0.00100588112536 512.0 512.0 524800.0
614046 544.428625703 180.202073455 1.3508150657e-05 544.0 180.0 184864.0
614046 510.422704339 521.899290204 0.000223709621904 510.0 522.0 535038.0
614046 515.562899947 517.841406941 0.000992492429821 516.0 518.0 530948.0
614047 513.440516591 522.914754748 0.000194047602068 513.0 523.0 536065.0
614047 951.382239223 554.15564549 3.8582856861e-05 951.0 554.0 568247.0
614047 512.284681439 512.2053684 0.000960960612964 512.0 512.0 524800.0
614047 514.848219275 517.222683072 0.000995196262848 515.0 517.0 529923.0
614048 514.646526933 518.729057908 0.00110595767911 515.0 519.0 531971.0
614048 512.598145843 512.146386266 0.00102815073914 513.0 512.0 524801.0
614048 450.446807981 926.782332301 4.09031750048e-05 450.0 927.0 949698.0
614049 113.109847426 24.776356101 1.06145945689e-05 113.0 25.0 25713.0
614049 512.363783956 512.188867211 0.000888358713089 512.0 512.0 524800.0
614049 514.592062116 517.323606849 0.00111234297571 515.0 517.0 529923.0
614049 513.687124133 522.681603551 0.000127330382359 514.0 523.0 536066.0
614049 643.179559112 377.40480864 1.36583270505e-05 643.0 377.0 386691.0
614050 514.876665473 517.868759751 0.000995678795255 515.0 518.0 530947.0
614050 515.891143441 521.872621417 0.000185758253414 516.0 522.0 535044.0
