k x y F u v cell
349160 477.977105498 841.166000962 4.22279425664e-07 478.0 841.0 861662.0
349160 502.273900151 514.89910686 0.00102096841396 502.0 515.0 527862.0
349160 512.367840886 512.750118613 0.00108335556405 512.0 513.0 525824.0
349161 512.697383285 512.108330607 0.00103129246509 513.0 512.0 524801.0
349161 502.040867448 514.836419225 0.00105378796056 502.0 515.0 527862.0
349162 91.3171705008 355.048565269 1.53020778278e-05 91.0 355.0 363611.0
349162 502.373652101 514.689899564 0.000895726214942 502.0 515.0 527862.0
349162 511.471964478 512.507477164 0.0010731776039 511.0 513.0 525823.0
349163 512.414354682 512.991017222 0.00101926452543 512.0 513.0 525824.0
349163 356.415959477 734.591391921 1.54781614599e-05 356.0 735.0 752996.0
349163 502.188155293 514.99424994 0.00106685032166 502.0 515.0 527862.0
349164 596.284237981 183.044865489 1.64310911182e-06 596.0 183.0 187988.0
349164 579.082366824 493.578230739 9.38296673698e-06 579.0 494.0 506435.0
349164 253.56270206 81.6719304323 6.02183598027e-05 254.0 82.0 84222.0
349164 503.237721562 514.74969852 0.00107646426811 503.0 515.0 527863.0
349164 512.413464665 512.243293405 0.000932873617966 512.0 512.0 524800.0
349165 520.732210755 1013.291587 2.04437718233e-05 521.0 1013.0 1037833.0
349165 512.93707788 512.449754596 0.00105301737779 513.0 512.0 524801.0
349165 502.270678639 514.994090676 0.00101210236277 502.0 515.0 527862.0
349166 889.103638768 566.993482709 3.09297932441e-06 889.0 567.0 581497.0
349166 502.080566049 514.653407931 0.000890734893366 502.0 515.0 527862.0
349166 500.891202331 208.401718497 7.0736137308e-06 501.0 208.0 213493.0
349166 511.544367194 512.145519137 0.00112471739856 512.0 512.0 524800.0
349167 502.480939269 514.361475348 0.00102850431389 502.0 514.0 526838.0
349167 1018.87629187 11.1490761042 1.17894787768e-05 1019.0 11.0 12283.0
349167 512.75197804 512.118295074 0.000997212612305 513.0 512.0 524801.0
349168 502.371536136 514.468592525 0.00103258712033 502.0 514.0 526838.0
349168 512.626336932 512.193638206 0.000981121649718 513.0 512.0 524801.0
349169 502.318345904 514.908668876 0.00104260638951 502.0 515.0 527862.0
349169 512.635193467 512.621345162 0.00104666523788 513.0 513.0 525825.0
349170 512.901542306 512.699246526 0.00105383115933 513.0 513.0 525825.0
349170 502.753510356 514.764101148 0.000998706410085 503.0 515.0 527863.0
349171 226.302214026 884.791594386 3.10456789556e-05 226.0 885.0 906466.0
349171 437.970147491 703.333933234 3.38746305139e-06 438.0 703.0 720310.0
349171 596.148215175 594.610211253 2.70799956217e-06 596.0 595.0 609876.0
349171 512.954287887 512.546895862 0.0010420401113 513.0 513.0 525825.0
349171 502.848785996 514.981888413 0.0010102491829 503.0 515.0 527863.0
349172 495.928236365 973.562707543 2.86124102258e-05 496.0 974.0 997872.0
349172 512.777528405 512.69040525 0.00097027864358 513.0 513.0 525825.0
349172 502.776711106 514.725167394 0.00102370601688 503.0 515.0 527863.0
349172 844.67829597 934.952655911 8.16359267686e-06 845.0 935.0 958285.0
349173 502.303885579 514.820066571 0.00102082557804 502.0 515.0 527862.0
349173 986.42052424 846.499140143 8.86988538717e-05 986.0 846.0 867290.0
349173 512.930108905 512.361500621 0.00102961626674 513.0 512.0 524801.0
349174 95.4752351046 105.230736852 1.83506831983e-05 95.0 105.0 107615.0
349174 511.59501493 512.085576892 0.00104175649233 512.0 512.0 524800.0
349174 199.189880729 321.305773377 3.76045865304e-05 199.0 321.0 328903.0
349174 502.519336581 514.645781875 0.000956257058029 503.0 515.0 527863.0
349175 911.74657023 143.795479655 3.00813139892e-06 912.0 144.0 148368.0
349175 512.833545089 512.163954377 0.00101728205718 513.0 512.0 524801.0
349175 502.096741557 514.230306745 0.00105197118212 502.0 514.0 526838.0
349176 437.486643434 189.045730948 2.70841021954e-05 437.0 189.0 193973.0
349176 502.134657741 514.588477492 0.00103331987144 502.0 515.0 527862.0
349176 512.417771459 512.023982406 0.000977640564304 512.0 512.0 524800.0
349176 184.627456307 740.392725825 1.66491735096e-05 185.0 740.0 757945.0
349177 502.17417109 514.693944097 0.00102572188468 502.0 515.0 527862.0
349177 512.58645308 512.319770455 0.00103395818161 513.0 512.0 524801.0
349177 179.400961518 136.680584073 9.98540962387e-06 179.0 137.0 140467.0
349178 502.577044129 514.873060822 0.000998998399803 503.0 515.0 527863.0
349178 780.508911967 531.552692294 6.10462934687e-05 781.0 532.0 545549.0
349178 537.581558585 955.168187737 0.000100137152686 538.0 955.0 978458.0
349178 512.971442103 512.429766059 0.00102004634968 513.0 512.0 524801.0
349179 512.979208589 512.13862741 0.00105476445394 513.0 512.0 524801.0
349179 669.90335834 516.708462358 1.47741242776e-05 670.0 517.0 530078.0
349179 502.71627748 514.421890616 0.00106674370825 503.0 514.0 526839.0
349179 58.2344163656 84.7007716894 5.25926708987e-05 58.0 85.0 87098.0
349179 424.148064971 473.553753734 2.15546099416e-06 424.0 474.0 485800.0
