k x y F u v cell
794640 421.343088508 928.628529191 3.21348503682e-05 421.0 929.0 951717.0
794640 836.929180264 466.578913808 9.78450374498e-07 837.0 467.0 479045.0
794640 513.46184957 512.14233458 0.00202953566822 513.0 512.0 524801.0
794641 69.6406573057 117.605669856 7.35599822709e-05 70.0 118.0 120902.0
794641 513.700591445 512.883930326 0.00196625215021 514.0 513.0 525826.0
794641 616.702659011 5.10237514973 5.85142679944e-06 617.0 5.0 5737.0
794642 784.995165229 831.139683843 3.90461076856e-05 785.0 831.0 851729.0
794642 513.956172824 512.406145692 0.00195576255146 514.0 512.0 524802.0
794642 943.619794488 258.041702628 2.16643868897e-05 944.0 258.0 265136.0
794643 513.047454 512.610631824 0.00197635962423 513.0 513.0 525825.0
794644 513.656409621 512.171756625 0.00190895601706 514.0 512.0 524802.0
794645 513.531944871 512.85174191 0.00200042738319 514.0 513.0 525826.0
794645 719.937010407 276.984500527 2.08040287309e-06 720.0 277.0 284368.0
794646 735.41124928 996.990088582 1.10665616356e-05 735.0 997.0 1021663.0
794646 793.076309323 212.406521678 3.81255389297e-06 793.0 212.0 217881.0
794646 513.87184751 512.528108716 0.00201459969572 514.0 513.0 525826.0
794647 513.125961185 512.833439946 0.00196237400477 513.0 513.0 525825.0
794648 513.351997972 512.734660268 0.00201332580271 513.0 513.0 525825.0
794648 894.842975259 987.950605512 5.24284705372e-06 895.0 988.0 1012607.0
794649 513.588068604 512.779155135 0.00196626959952 514.0 513.0 525826.0
794650 649.358841062 509.568745017 3.1233010993e-06 649.0 510.0 522889.0
794650 788.134594798 470.603201032 5.1525601882e-07 788.0 471.0 483092.0
794650 513.386326909 512.972167611 0.00198690676171 513.0 513.0 525825.0
794651 513.995370746 512.961214423 0.00201761678977 514.0 513.0 525826.0
794652 176.199601769 123.268776536 1.23938245905e-06 176.0 123.0 126128.0
794652 513.545334935 512.520848155 0.0019688600308 514.0 513.0 525826.0
794652 285.736365914 434.321627259 2.47089222468e-05 286.0 434.0 444702.0
794653 513.380985379 512.734474301 0.00197564520062 513.0 513.0 525825.0
794653 557.460353017 267.790267587 2.51491595948e-05 557.0 268.0 274989.0
794654 812.606197715 31.1287571192 2.12100679577e-05 813.0 31.0 32557.0
794654 513.023860812 512.739894986 0.00191398467951 513.0 513.0 525825.0
794655 794.415615916 336.472131371 1.07804562609e-05 794.0 336.0 344858.0
794655 513.679359794 512.146680474 0.00203145222317 514.0 512.0 524802.0
794655 345.880389571 123.358819604 3.24762540036e-05 346.0 123.0 126298.0
794656 840.292328477 829.070970416 1.66311419385e-06 840.0 829.0 849736.0
794656 633.802754045 347.772066236 1.57568744357e-05 634.0 348.0 356986.0
