k x y F u v cell
541800 512.152047992 512.371386647 0.00202090796492 512.0 512.0 524800.0
541800 60.9862672091 716.921168685 1.3491906052e-05 61.0 717.0 734269.0
541801 201.041830182 542.527157426 3.38168195193e-05 201.0 543.0 556233.0
541801 55.881753087 866.167874694 3.43993532526e-05 56.0 866.0 886840.0
541801 512.110560775 512.528584361 0.00197833387769 512.0 513.0 525824.0
541802 512.501829267 512.046028256 0.00190611889092 513.0 512.0 524801.0
541803 512.957441211 512.592270017 0.001977193601 513.0 513.0 525825.0
541804 512.418985963 512.225898862 0.00200486881953 512.0 512.0 524800.0
541804 664.39749825 830.191552043 7.667305719e-06 664.0 830.0 850584.0
541805 256.544229627 962.513353467 1.28149215883e-05 257.0 963.0 986369.0
541805 284.797821164 891.328079104 0.000120758056419 285.0 891.0 912669.0
541805 594.478048205 784.800225377 1.96561943822e-05 594.0 785.0 804434.0
541805 512.017128825 512.586398721 0.00197264891586 512.0 513.0 525824.0
541806 512.980278373 512.503270745 0.00201440704201 513.0 513.0 525825.0
541806 283.401897311 651.757091403 6.86860765839e-05 283.0 652.0 667931.0
541807 666.79510653 982.674682498 3.48811525021e-05 667.0 983.0 1007259.0
541807 907.162944913 302.667395234 7.02947919047e-06 907.0 303.0 311179.0
541807 24.315698266 63.8323796988 4.5839179106e-05 24.0 64.0 65560.0
541807 512.800753713 512.39779532 0.0020113069333 513.0 512.0 524801.0
541808 641.212115169 338.697905183 1.52926133718e-05 641.0 339.0 347777.0
541808 512.630063653 512.735370278 0.00204034603008 513.0 513.0 525825.0
541809 709.497735858 548.063244939 3.37308114921e-05 709.0 548.0 561861.0
541809 512.008700252 512.939067245 0.00196289882401 512.0 513.0 525824.0
541810 512.997406125 512.47739923 0.00200832624092 513.0 512.0 524801.0
541811 488.715275884 685.118165374 8.51956806423e-06 489.0 685.0 701929.0
541811 512.290715337 512.930963159 0.00198198095541 512.0 513.0 525824.0
541812 67.9325498343 310.318075299 4.42507518167e-05 68.0 310.0 317508.0
541812 512.125650525 512.269174933 0.00199993028693 512.0 512.0 524800.0
541812 935.133067489 234.171553969 5.03703248607e-06 935.0 234.0 240551.0
541813 512.709245086 512.075673938 0.00204881999555 513.0 512.0 524801.0
541813 378.196885467 637.287682652 6.45297024629e-07 378.0 637.0 652666.0
541813 190.542595506 237.988967061 4.79325741645e-05 191.0 238.0 243903.0
541814 512.969736457 512.551612258 0.00201129384893 513.0 513.0 525825.0
541815 512.866701245 512.490664363 0.00195611399073 513.0 512.0 524801.0
541815 884.983950496 913.990086675 1.11185446036e-06 885.0 914.0 936821.0
