k x y F u v cell
987280 516.357460618 502.891161561 0.00104099293126 516.0 503.0 515588.0
987280 512.757606149 512.899721265 0.00101372470847 513.0 513.0 525825.0
987281 516.518799424 502.404267192 0.000994072326664 517.0 502.0 514565.0
987281 512.683757424 512.638815999 0.00104287853876 513.0 513.0 525825.0
987281 166.959626555 158.523356557 6.24988864285e-05 167.0 159.0 162983.0
987282 516.473056436 502.66639626 0.00101800035834 516.0 503.0 515588.0
987282 6.8079982996 699.553298354 1.45293533001e-05 7.0 700.0 716807.0
987282 512.951025605 512.987227559 0.0010458575434 513.0 513.0 525825.0
987283 512.283271194 512.586967587 0.00100111990422 512.0 513.0 525824.0
987283 516.605165601 502.061885476 0.000969558427553 517.0 502.0 514565.0
987284 516.068719506 502.581438422 0.00105025351591 516.0 503.0 515588.0
987284 512.908871055 512.613254189 0.00104241784772 513.0 513.0 525825.0
987285 516.912248015 502.220201373 0.00105570768781 517.0 502.0 514565.0
987285 96.8590439558 747.698705792 1.76397776605e-05 97.0 748.0 766049.0
987285 113.824700236 317.951456189 2.56297407718e-05 114.0 318.0 325746.0
987285 512.494234443 512.631152511 0.000997812479344 512.0 513.0 525824.0
987286 516.056439281 502.149208188 0.000953043926154 516.0 502.0 514564.0
987286 512.367257237 512.556266189 0.00103412764645 512.0 513.0 525824.0
987287 512.87055099 512.673982978 0.0010299563205 513.0 513.0 525825.0
987287 516.03625977 502.080816627 0.00100181804512 516.0 502.0 514564.0
987288 512.235899568 512.462728143 0.0010218839694 512.0 512.0 524800.0
987288 516.269033313 502.231476426 0.00103981564748 516.0 502.0 514564.0
987289 512.309725165 512.74498713 0.00106291391492 512.0 513.0 525824.0
987289 516.637812734 502.325362325 0.00101096919068 517.0 502.0 514565.0
987289 151.945058942 809.88707149 0.000112517843678 152.0 810.0 829592.0
987290 516.457561851 502.185161471 0.00105792637232 516.0 502.0 514564.0
987290 512.708988309 512.239561677 0.000995803165715 513.0 512.0 524801.0
987291 512.659942269 512.574419618 0.00100736713131 513.0 513.0 525825.0
987291 86.1551846266 63.6755002737 0.000128314991196 86.0 64.0 65622.0
987291 516.439347386 502.456244349 0.00103198168847 516.0 502.0 514564.0
987292 128.391972184 504.612201095 2.48007986248e-06 128.0 505.0 517248.0
987292 516.922552228 502.163007379 0.00106189726343 517.0 502.0 514565.0
987292 512.482949615 512.43592155 0.00105633732705 512.0 512.0 524800.0
987292 271.882486701 846.910019755 7.57293666711e-05 272.0 847.0 867600.0
987293 512.87421 512.901657462 0.00102987321138 513.0 513.0 525825.0
987293 515.538210988 502.320975661 0.000947237124012 516.0 502.0 514564.0
987293 538.538603663 190.971987605 4.66568374392e-05 539.0 191.0 196123.0
987294 512.42574513 512.994668126 0.000959167673031 512.0 513.0 525824.0
987294 260.545171857 501.156356692 2.79489535334e-06 261.0 501.0 513285.0
987294 516.178224921 502.155132174 0.00102009662301 516.0 502.0 514564.0
987295 849.008162856 674.78142488 2.02659422819e-05 849.0 675.0 692049.0
