k x y F u v cell
915040 73.685043931 566.619615436 2.75225191463e-05 74.0 567.0 580682.0
915040 755.604501128 291.6006006 2.24999727858e-05 756.0 292.0 299764.0
915040 511.36428225 511.273302197 0.00185060173785 511.0 511.0 523775.0
915041 511.119401813 511.493082643 0.00196666904545 511.0 511.0 523775.0
915042 511.187907338 511.992625594 0.00195866133639 511.0 512.0 524799.0
915042 983.834545493 577.504140258 2.28344487714e-06 984.0 578.0 592856.0
915042 856.102132201 192.623852134 4.98194134324e-05 856.0 193.0 198488.0
915043 511.763138175 511.581367612 0.00198932308487 512.0 512.0 524800.0
915043 750.539151311 419.21684587 1.28295382237e-05 751.0 419.0 429807.0
915044 511.754702449 511.164669394 0.00192273840833 512.0 511.0 523776.0
915045 511.701732039 511.37245214 0.00189551900872 512.0 511.0 523776.0
915046 511.836573005 511.597110629 0.00187586814458 512.0 512.0 524800.0
915047 945.1461972 465.290675998 5.26472728953e-05 945.0 465.0 477105.0
915047 511.006800294 511.930213332 0.00190732525302 511.0 512.0 524799.0
915048 511.479738355 511.230073571 0.00193103855027 511.0 511.0 523775.0
915048 549.069739938 113.617145896 1.55707025589e-06 549.0 114.0 117285.0
915049 411.208392262 250.067864299 8.5786790867e-06 411.0 250.0 256411.0
915049 511.180201888 511.28354013 0.00195669310041 511.0 511.0 523775.0
915049 873.825793862 969.231033206 2.63814947073e-05 874.0 969.0 993130.0
915049 535.294711471 822.883635879 4.38803626084e-05 535.0 823.0 843287.0
915049 842.400022388 547.394016147 2.86436123829e-05 842.0 547.0 560970.0
915050 511.590565085 511.467770219 0.00192082117817 512.0 511.0 523776.0
915050 719.545162559 368.916401029 9.79141716222e-05 720.0 369.0 378576.0
915050 879.795072436 951.755761504 1.99976909851e-06 880.0 952.0 975728.0
915051 827.721145749 935.418044925 5.51312440352e-05 828.0 935.0 958268.0
915051 511.738836646 511.296290994 0.00190698753573 512.0 511.0 523776.0
915052 511.675059676 511.089390874 0.00191939853593 512.0 511.0 523776.0
915052 740.110238194 421.183438659 5.08271369314e-05 740.0 421.0 431844.0
915053 384.226836324 108.667091012 3.44378580054e-05 384.0 109.0 112000.0
915053 511.312899232 511.622598052 0.00192651027385 511.0 512.0 524799.0
915054 889.348927617 1003.58489525 4.32533097425e-06 889.0 1004.0 1028985.0
915054 511.224763274 511.700482249 0.00190532000995 511.0 512.0 524799.0
915055 511.205402493 511.186046481 0.00195659107572 511.0 511.0 523775.0
915056 511.037963033 511.699909091 0.00192672846343 511.0 512.0 524799.0
915056 3.37000668049 760.600371242 4.81034319042e-06 3.0 761.0 779267.0
915057 563.308705449 428.690764546 2.5540357793e-08 563.0 429.0 439859.0
915057 207.733148694 405.188398957 1.19545488286e-05 208.0 405.0 414928.0
915057 511.426185966 511.407342076 0.0019801502948 511.0 511.0 523775.0
915058 511.895094514 511.916875958 0.00193680188292 512.0 512.0 524800.0
915058 537.200499654 353.683353543 2.00506153026e-05 537.0 354.0 363033.0
915059 511.889627576 511.132444739 0.00187055612056 512.0 511.0 523776.0
915059 900.492749572 805.968742967 3.29819861379e-05 900.0 806.0 826244.0
915059 970.031477571 961.57230556 2.95244476474e-05 970.0 962.0 986058.0
915060 314.426207662 500.953194022 2.58711320755e-05 314.0 501.0 513338.0
915060 37.4537864923 185.692503572 5.42924964325e-05 37.0 186.0 190501.0
915060 511.884230733 511.922709584 0.00190344732435 512.0 512.0 524800.0
915061 511.871763349 511.873179555 0.00194437991067 512.0 512.0 524800.0
915062 511.013574243 511.874762177 0.00195293284526 511.0 512.0 524799.0
915063 511.621328473 511.531876445 0.00195580896525 512.0 512.0 524800.0
915064 412.701899648 428.54435885 1.13639201832e-05 413.0 429.0 439709.0
915064 511.485696435 511.995281339 0.0019282242107 511.0 512.0 524799.0
915065 511.167106032 511.474521518 0.00194401271076 511.0 511.0 523775.0
915066 511.584226489 511.824196219 0.0018889433615 512.0 512.0 524800.0
915066 744.183179736 779.617923856 3.13317482288e-06 744.0 780.0 799464.0
915066 276.426001191 911.943888783 1.08786768014e-05 276.0 912.0 934164.0
915067 511.759578109 511.862321734 0.00194834527273 512.0 512.0 524800.0
915067 838.005295157 378.247511029 5.92224028378e-05 838.0 378.0 387910.0
915067 105.713407636 690.952463508 3.65497549548e-05 106.0 691.0 707690.0
915067 349.821434379 50.2122272253 6.71331286771e-05 350.0 50.0 51550.0
915068 688.754517198 960.76663363 4.2586179438e-06 689.0 961.0 984753.0
915068 511.052715659 511.126076818 0.00195644007258 511.0 511.0 523775.0
915068 409.934139132 876.058604836 7.96403538391e-05 410.0 876.0 897434.0
915068 839.83895576 256.177782893 4.75054461441e-05 840.0 256.0 262984.0
915068 330.994777083 364.507703185 7.45437400234e-07 331.0 365.0 374091.0
915069 511.643566489 511.175367475 0.00195787934711 512.0 511.0 523776.0
915070 704.893950582 869.687430024 4.39687358658e-06 705.0 870.0 891585.0
915070 511.753388762 511.22740829 0.00194718570213 512.0 511.0 523776.0
915071 511.819400191 511.154079318 0.00190790489038 512.0 511.0 523776.0
915072 511.423761725 511.207661986 0.00194710055963 511.0 511.0 523775.0
915072 966.379151464 763.183049798 2.30715563453e-05 966.0 763.0 782278.0
915072 991.202112079 527.365508676 0.000115693113394 991.0 527.0 540639.0
915073 746.864581943 212.052893996 5.10102242184e-05 747.0 212.0 217835.0
915073 511.623356938 511.686417222 0.00193507908849 512.0 512.0 524800.0
915074 198.512030244 318.420624375 1.46137570851e-05 199.0 318.0 325831.0
915074 511.592906833 511.496924758 0.00199479058329 512.0 511.0 523776.0
915075 511.75909102 511.388158917 0.00191842656991 512.0 511.0 523776.0
915076 363.097925782 441.323782563 5.47630503799e-06 363.0 441.0 451947.0
915076 508.51111114 586.993557096 8.18139048e-06 509.0 587.0 601597.0
915076 511.030593753 511.045252204 0.00184101746788 511.0 511.0 523775.0
915076 773.502191663 973.213392854 5.45116780906e-06 774.0 973.0 997126.0
915077 511.50780189 511.996605039 0.00194940563177 512.0 512.0 524800.0
915078 511.354426026 511.641360879 0.00187468169777 511.0 512.0 524799.0
915079 511.275354028 511.360905766 0.00186235893699 511.0 511.0 523775.0
915079 551.535057664 199.067460895 1.6590154836e-05 552.0 199.0 204328.0
915079 275.609044671 518.884140372 2.63825367367e-05 276.0 519.0 531732.0
915080 511.419754386 511.173464894 0.00190343712036 511.0 511.0 523775.0
915081 511.99424541 511.598768592 0.00192512971527 512.0 512.0 524800.0
915082 951.858381152 961.668221593 2.36596784948e-05 952.0 962.0 986040.0
915082 511.373956323 511.751429915 0.00188037658855 511.0 512.0 524799.0
915083 685.408103347 1012.58317411 1.66953494675e-05 685.0 1013.0 1037997.0
915083 511.048552155 511.378531814 0.00199424304255 511.0 511.0 523775.0
915084 217.011318803 773.535866857 5.56878681983e-05 217.0 774.0 792793.0
915084 511.623947024 511.330694079 0.00193824732894 512.0 511.0 523776.0
915085 511.99605453 511.730838656 0.00194051270195 512.0 512.0 524800.0
915086 511.422145963 511.749451756 0.00188804730785 511.0 512.0 524799.0
915087 511.887450337 511.866789699 0.00195275777881 512.0 512.0 524800.0
915088 363.279374003 255.138741136 1.18395138344e-05 363.0 255.0 261483.0
915088 215.68174994 405.295580983 6.73155265428e-05 216.0 405.0 414936.0
915088 511.249335647 511.20490253 0.00196454026314 511.0 511.0 523775.0
915089 511.569836259 511.844582915 0.00188878124178 512.0 512.0 524800.0
915089 85.7988804579 632.440312028 7.30655343241e-06 86.0 632.0 647254.0
915090 511.572257638 511.287632108 0.00188870202159 512.0 511.0 523776.0
915090 823.814792991 918.467628121 6.80853209945e-07 824.0 918.0 940856.0
915090 102.043902755 532.798297524 4.99489542727e-05 102.0 533.0 545894.0
915091 511.953110099 511.078252196 0.00190697514912 512.0 511.0 523776.0
915091 51.1391061544 683.188798785 3.53159322913e-06 51.0 683.0 699443.0
915092 813.139602542 888.281138539 4.62182366036e-05 813.0 888.0 910125.0
915092 511.794357657 511.843209147 0.00192560447133 512.0 512.0 524800.0
915093 511.953306317 511.553158879 0.00188875465054 512.0 512.0 524800.0
915093 993.58611238 656.244731307 8.88661752676e-05 994.0 656.0 672738.0
915094 969.469730258 218.122062802 1.5893345518e-05 969.0 218.0 224201.0
915094 278.435217261 325.719329953 8.58496923478e-06 278.0 326.0 334102.0
915094 511.246097207 511.362584233 0.0019432947013 511.0 511.0 523775.0
915094 615.705916524 675.805626988 4.54474264426e-05 616.0 676.0 692840.0
915094 540.699252725 436.650508046 8.11402264642e-06 541.0 437.0 448029.0
915095 524.560464263 78.0892425776 1.45253825278e-05 525.0 78.0 80397.0
915095 511.960421205 511.651690841 0.00189681272797 512.0 512.0 524800.0
915095 319.195542455 134.079521537 3.84997428459e-06 319.0 134.0 137535.0
915096 363.975461841 786.470393062 5.20279819854e-06 364.0 786.0 805228.0
915096 511.311632514 511.757516742 0.00193162706481 511.0 512.0 524799.0
915096 863.8901757 615.759452462 2.73809824215e-06 864.0 616.0 631648.0
915097 511.057649016 511.707748532 0.00192654909777 511.0 512.0 524799.0
915098 217.186011672 764.887661099 2.52592538863e-05 217.0 765.0 783577.0
915098 894.174367785 354.34243691 2.61663908196e-05 894.0 354.0 363390.0
915098 511.989698291 511.754284501 0.00186152598585 512.0 512.0 524800.0
915099 511.062394023 511.569369674 0.00192914787716 511.0 512.0 524799.0
915100 511.085795999 511.032936692 0.00194297167299 511.0 511.0 523775.0
915101 304.331596971 74.655780673 5.5732870939e-06 304.0 75.0 77104.0
915101 588.264576316 720.745404601 1.2889080772e-05 588.0 721.0 738892.0
915101 511.163107276 511.052011609 0.00195905892973 511.0 511.0 523775.0
915102 511.096825004 511.027231812 0.00189823970959 511.0 511.0 523775.0
915103 511.267529368 511.832414508 0.0019052707535 511.0 512.0 524799.0
915103 25.338332057 290.841601491 2.31811564263e-05 25.0 291.0 298009.0
915103 527.16965282 597.115048289 2.90021422842e-05 527.0 597.0 611855.0
915104 511.977841973 511.199009061 0.00191083237805 512.0 511.0 523776.0
915104 2.05155265331 855.325921416 2.77686997173e-06 2.0 855.0 875522.0
915104 492.877357841 76.8420375586 3.13147449885e-06 493.0 77.0 79341.0
915105 511.572918057 511.646384597 0.00195921668643 512.0 512.0 524800.0
915106 511.380360961 511.113918185 0.001900790185 511.0 511.0 523775.0
915107 511.252914786 511.736086726 0.00189249246811 511.0 512.0 524799.0
915108 511.389500022 511.838930726 0.00194193022162 511.0 512.0 524799.0
915109 511.104807734 511.214894891 0.00187480926439 511.0 511.0 523775.0
915109 383.014323592 950.8295573 4.71537381712e-05 383.0 951.0 974207.0
