k x y F u v cell
144480 514.050408959 544.805628896 6.28757809667e-05 514.0 545.0 558594.0
144480 512.165815711 511.026672482 0.00191433242329 512.0 511.0 523776.0
144481 605.955202222 108.511513591 1.59941911146e-05 606.0 109.0 112222.0
144481 512.880715251 511.63856709 0.00193347447712 513.0 512.0 524801.0
144482 182.691216111 680.633416057 1.11216528345e-05 183.0 681.0 697527.0
144482 512.806944013 511.031312346 0.00190137469126 513.0 511.0 523777.0
144483 607.682931781 541.563567519 6.64865111983e-05 608.0 542.0 555616.0
144483 512.052714944 511.070691466 0.0019153850097 512.0 511.0 523776.0
144484 512.434172273 511.667765021 0.00196637971682 512.0 512.0 524800.0
144484 686.424978137 73.7128196955 0.000119639976133 686.0 74.0 76462.0
144485 512.146870255 511.40222609 0.00193819754271 512.0 511.0 523776.0
144485 1018.63761055 434.352285504 1.02159974067e-05 1019.0 434.0 445435.0
144485 114.587231517 377.885479331 6.73844161297e-06 115.0 378.0 387187.0
144486 512.186507344 511.551385045 0.00201219810803 512.0 512.0 524800.0
144486 426.969580531 647.938165307 7.02979308451e-07 427.0 648.0 663979.0
144487 512.778253913 511.244464517 0.00190929319823 513.0 511.0 523777.0
144488 512.482898593 511.182011008 0.00192028435002 512.0 511.0 523776.0
144489 512.411594033 511.41118896 0.00193921924079 512.0 511.0 523776.0
144490 512.748914361 511.612950206 0.00188767249252 513.0 512.0 524801.0
144491 849.219470859 405.015178323 2.95727117354e-05 849.0 405.0 415569.0
144491 512.951305985 511.247528195 0.00182046424532 513.0 511.0 523777.0
144492 186.073361516 223.363114476 4.44951066797e-05 186.0 223.0 228538.0
144492 933.914291024 1003.19222248 9.88736149658e-06 934.0 1003.0 1028006.0
144492 816.354181647 895.285473943 1.05958948454e-05 816.0 895.0 917296.0
144492 512.276198268 511.216101289 0.00206142665379 512.0 511.0 523776.0
144493 186.242731214 1003.2772516 2.41170162906e-07 186.0 1003.0 1027258.0
144493 90.0924052 825.406978965 9.58358187142e-05 90.0 825.0 844890.0
144493 512.930995822 511.56718123 0.00195719791442 513.0 512.0 524801.0
144493 721.909995198 609.435067534 3.81520447503e-06 722.0 609.0 624338.0
144494 512.165116191 511.215500236 0.00201201231619 512.0 511.0 523776.0
144494 798.98517406 431.494555116 3.86616857701e-05 799.0 431.0 442143.0
144495 381.910111308 987.88758409 3.89324541574e-05 382.0 988.0 1012094.0
144495 512.688044667 511.15073359 0.00198723585688 513.0 511.0 523777.0
144496 512.554680467 511.441293597 0.0019091148365 513.0 511.0 523777.0
144496 126.650105834 827.645455718 3.55638682548e-06 127.0 828.0 847999.0
144497 117.827353835 617.910294652 3.36599941817e-08 118.0 618.0 632950.0
144497 512.575633168 511.85166347 0.00194108409432 513.0 512.0 524801.0
144498 512.484886765 511.99768436 0.0019425324986 512.0 512.0 524800.0
144498 134.505339265 671.309569001 5.21432316425e-05 135.0 671.0 687239.0
144499 512.523602843 511.280190349 0.00200246593191 513.0 511.0 523777.0
144499 983.74010241 690.679577708 1.52873953724e-05 984.0 691.0 708568.0
144500 512.250820756 511.850129008 0.00191761276413 512.0 512.0 524800.0
144500 93.8717910051 205.816789269 1.45751440213e-05 94.0 206.0 211038.0
144501 512.134703517 511.035716891 0.00192500965262 512.0 511.0 523776.0
144502 380.930540919 40.7735265493 1.57677333014e-05 381.0 41.0 42365.0
144502 512.963298917 511.182958007 0.00190383703 513.0 511.0 523777.0
144503 512.127890706 511.302327037 0.00193690396715 512.0 511.0 523776.0
144503 308.485215068 511.081050754 6.09847486537e-06 308.0 511.0 523572.0
144504 512.280143142 511.495988965 0.00198877738407 512.0 511.0 523776.0
144505 512.030881524 511.626895308 0.00198110315263 512.0 512.0 524800.0
144505 871.252328515 185.065569997 8.21105151778e-06 871.0 185.0 190311.0
144506 512.535354972 511.801898122 0.00192182715618 513.0 512.0 524801.0
144506 575.627319932 437.136397243 3.50213440167e-05 576.0 437.0 448064.0
144506 699.907386184 628.774518609 3.39891684985e-06 700.0 629.0 644796.0
144506 707.990214705 301.374346852 6.70014829788e-07 708.0 301.0 308932.0
144507 512.790398479 511.139661908 0.00194585527213 513.0 511.0 523777.0
144508 655.562725186 862.829894185 3.82259854255e-06 656.0 863.0 884368.0
144508 512.010236382 511.856131434 0.0019587204081 512.0 512.0 524800.0
144509 512.806001306 511.337160945 0.00189250264323 513.0 511.0 523777.0
144510 512.510078549 511.657028794 0.00192201230922 513.0 512.0 524801.0
144511 152.780807137 564.359271169 8.39053351471e-05 153.0 564.0 577689.0
144511 512.823010564 511.001282811 0.00194827437694 513.0 511.0 523777.0
144512 512.053442121 511.044113517 0.00195736718058 512.0 511.0 523776.0
144512 338.398020625 470.968891263 8.94863553491e-06 338.0 471.0 482642.0
144513 192.953498721 348.386148334 1.29602195169e-05 193.0 348.0 356545.0
144513 512.871500611 511.232170224 0.00193095909469 513.0 511.0 523777.0
144514 619.031987071 331.081241965 2.7196733614e-05 619.0 331.0 339563.0
144514 512.168743253 511.449989438 0.00196899828959 512.0 511.0 523776.0
144514 647.879734159 630.178777814 3.79008292201e-07 648.0 630.0 645768.0
144515 890.288744092 917.770143151 1.34169188672e-05 890.0 918.0 940922.0
144515 512.571593165 511.706241727 0.00189676572701 513.0 512.0 524801.0
144515 793.001304269 94.4494730234 2.64245807489e-06 793.0 94.0 97049.0
144516 409.868897319 140.411583066 9.01240384273e-06 410.0 140.0 143770.0
144516 512.69820559 511.478186965 0.00187634557517 513.0 511.0 523777.0
144517 512.746715903 511.950769305 0.00194734915844 513.0 512.0 524801.0
144518 406.9389745 42.0054072142 6.69755278075e-05 407.0 42.0 43415.0
144518 512.377941251 511.303559661 0.00194780586977 512.0 511.0 523776.0
144519 512.185031056 511.394523263 0.00191665726213 512.0 511.0 523776.0
144520 512.766471028 511.745173812 0.00194636116461 513.0 512.0 524801.0
144521 512.204177022 511.662901282 0.00202576023534 512.0 512.0 524800.0
144521 338.282213092 968.510110497 1.21616429026e-06 338.0 969.0 992594.0
144522 512.329767108 511.471294045 0.00199477063218 512.0 511.0 523776.0
144522 700.841485143 56.4678117037 1.3235634311e-05 701.0 56.0 58045.0
144522 769.986166358 212.896660924 4.10776422101e-07 770.0 213.0 218882.0
144523 985.659886003 289.135251164 9.81144193152e-06 986.0 289.0 296922.0
144523 512.502616286 511.393344522 0.00190159434228 513.0 511.0 523777.0
144524 512.264942288 511.807172179 0.0020046333978 512.0 512.0 524800.0
