k x y F u v cell
529760 512.746786952 512.327205539 0.0010516857688 513.0 512.0 524801.0
529760 689.526071191 639.099169374 1.54314864156e-05 690.0 639.0 655026.0
529760 504.229236245 522.390097499 0.000985467395695 504.0 522.0 535032.0
529761 422.921421647 890.83399713 1.31336894749e-05 423.0 891.0 912807.0
529761 504.448425412 522.504111648 0.00102484812803 504.0 523.0 536056.0
529761 512.642202973 512.426952004 0.00105823326971 513.0 512.0 524801.0
529762 512.901821017 512.339019418 0.00102512504737 513.0 512.0 524801.0
529762 248.017493367 789.550264239 3.46964304956e-05 248.0 790.0 809208.0
529762 504.702444196 522.417269349 0.00104455401231 505.0 522.0 535033.0
529763 504.088919044 522.156604171 0.000989908018724 504.0 522.0 535032.0
529763 887.521834016 644.951246142 7.32028525094e-06 888.0 645.0 661368.0
529763 512.921949506 512.055355906 0.00100744839708 513.0 512.0 524801.0
529763 786.764063954 350.492639661 7.45513199133e-06 787.0 350.0 359187.0
529763 304.759406209 658.93511951 2.94662284301e-05 305.0 659.0 675121.0
529764 504.00349319 522.538737178 0.00106509663513 504.0 523.0 536056.0
529764 512.253428817 512.420868039 0.00102270651557 512.0 512.0 524800.0
529765 512.565407157 512.581412435 0.00102062001456 513.0 513.0 525825.0
529765 504.300843835 522.664116979 0.000957843461507 504.0 523.0 536056.0
529766 987.351715446 283.466407895 3.06829670935e-06 987.0 283.0 290779.0
529766 504.013573527 522.855272412 0.00103506659832 504.0 523.0 536056.0
529766 512.272832513 512.449748158 0.000982653602138 512.0 512.0 524800.0
529766 545.743852735 82.6895333529 8.59335750114e-05 546.0 83.0 85538.0
529767 512.977596879 512.083921075 0.0010449666331 513.0 512.0 524801.0
529767 728.036183238 307.863738894 3.47274728049e-05 728.0 308.0 316120.0
529767 504.377978206 522.496472478 0.00101829834453 504.0 522.0 535032.0
529767 480.66843164 167.057520986 1.6073410895e-05 481.0 167.0 171489.0
529768 504.104938149 522.474040389 0.00100759246099 504.0 522.0 535032.0
529768 512.557743669 512.404131532 0.000986264846888 513.0 512.0 524801.0
529769 512.947909951 512.373948932 0.00103398080283 513.0 512.0 524801.0
529769 504.570697188 522.704805493 0.00105071009233 505.0 523.0 536057.0
529770 512.86326158 512.58831656 0.00102525476161 513.0 513.0 525825.0
529770 504.619740605 522.739403367 0.00101348831436 505.0 523.0 536057.0
529771 40.9998191595 307.076914191 2.1953466964e-05 41.0 307.0 314409.0
529771 504.537071347 522.874693036 0.000979527483038 505.0 523.0 536057.0
529771 512.760439277 512.457318187 0.000981220696139 513.0 512.0 524801.0
529772 512.84185636 512.496172071 0.00101516770069 513.0 512.0 524801.0
529772 504.178928971 522.616239667 0.00103736104171 504.0 523.0 536056.0
529773 512.59401381 512.020752549 0.00101807187224 513.0 512.0 524801.0
529773 504.522969604 522.349029899 0.00100855663966 505.0 522.0 535033.0
529774 512.604556918 512.307112336 0.00106204509225 513.0 512.0 524801.0
529774 504.351200223 522.886123538 0.00105231635202 504.0 523.0 536056.0
529774 16.6192218065 871.309492469 1.58490643394e-05 17.0 871.0 891921.0
529775 504.53805697 522.399309278 0.00106776585997 505.0 522.0 535033.0
529775 512.790602326 512.148291707 0.000996645129654 513.0 512.0 524801.0
529775 981.971562266 782.213793159 5.04383284666e-06 982.0 782.0 801750.0
529775 579.492907643 289.979450583 4.04892937794e-05 579.0 290.0 297539.0
529776 871.598687768 559.242397428 2.89930709182e-05 872.0 559.0 573288.0
529776 512.569922805 512.581891179 0.00100723151364 513.0 513.0 525825.0
529776 504.461087108 522.71663487 0.00102494516896 504.0 523.0 536056.0
529777 512.859398246 512.280777097 0.00101490009783 513.0 512.0 524801.0
529777 10.1133345366 245.475890517 8.55896042023e-07 10.0 245.0 250890.0
529777 504.519425511 522.726689458 0.00103901727946 505.0 523.0 536057.0
529778 974.868712783 64.9361559153 1.55197473613e-05 975.0 65.0 67535.0
529778 423.589821458 729.182222009 1.36125120987e-05 424.0 729.0 746920.0
529778 504.164742589 522.466923594 0.00101242985461 504.0 522.0 535032.0
529778 512.181645036 512.404604316 0.00104390030591 512.0 512.0 524800.0
529779 504.328018785 522.814511657 0.00104739281237 504.0 523.0 536056.0
529779 18.5889409781 485.734672904 1.83459183386e-05 19.0 486.0 497683.0
529779 512.730445027 512.084581017 0.00100968409695 513.0 512.0 524801.0
529780 512.870321631 512.0089885 0.00102433170178 513.0 512.0 524801.0
529780 504.224610925 522.020552993 0.00101596653615 504.0 522.0 535032.0
529781 504.512154698 522.417832017 0.00100723804695 505.0 522.0 535033.0
529781 512.950395465 512.288875461 0.00106720353685 513.0 512.0 524801.0
529782 512.351654887 512.094188571 0.00099187308455 512.0 512.0 524800.0
529782 504.24973762 522.175416112 0.00106526719486 504.0 522.0 535032.0
529783 504.652261853 522.519934058 0.00105589394841 505.0 523.0 536057.0
529783 512.674953818 512.00678122 0.0010282050882 513.0 512.0 524801.0
529784 504.283516049 522.469160676 0.00103502328305 504.0 522.0 535032.0
529784 997.443922639 394.637527823 1.14824123652e-05 997.0 395.0 405477.0
529784 512.49863708 512.067141652 0.000961683350358 512.0 512.0 524800.0
529785 512.798921227 512.467288613 0.00102676137913 513.0 512.0 524801.0
529785 504.637396455 522.577620625 0.00100335822973 505.0 523.0 536057.0
529786 653.051359534 252.021914363 8.38360240015e-06 653.0 252.0 258701.0
529786 504.28309691 522.324240804 0.000977972277228 504.0 522.0 535032.0
529786 606.914014935 603.019008517 5.11674922998e-05 607.0 603.0 618079.0
529786 937.026375651 700.474533677 9.92453224973e-06 937.0 700.0 717737.0
529786 660.134686112 988.191999793 9.35685411522e-06 660.0 988.0 1012372.0
529786 512.941361547 512.12443006 0.000989922415435 513.0 512.0 524801.0
529787 504.108208776 522.615488172 0.00103484459161 504.0 523.0 536056.0
529787 512.894537568 512.503834367 0.00101624965514 513.0 513.0 525825.0
529788 512.533793092 512.550584435 0.001007929561 513.0 513.0 525825.0
529788 504.217445254 522.692458034 0.00103105651459 504.0 523.0 536056.0
529789 504.193122268 522.707774282 0.00100260717746 504.0 523.0 536056.0
529789 512.234715581 512.357214808 0.00101355554425 512.0 512.0 524800.0
529790 512.957741618 512.263481975 0.00104060973693 513.0 512.0 524801.0
529790 504.247894406 522.994017005 0.00102811181313 504.0 523.0 536056.0
529791 504.493255973 522.793301702 0.000995266538696 504.0 523.0 536056.0
529791 512.851083159 512.501586795 0.0010126474422 513.0 513.0 525825.0
529792 504.348732591 522.843834996 0.000967103403006 504.0 523.0 536056.0
529792 7.19298493862 130.781438708 1.29196479167e-05 7.0 131.0 134151.0
529792 512.494476438 512.234937787 0.000996021352831 512.0 512.0 524800.0
529793 215.380661368 562.528621554 2.85203938882e-05 215.0 563.0 576727.0
529793 504.813307405 522.520815492 0.000986435847015 505.0 523.0 536057.0
529793 4.41989314556 724.183003068 4.77893538955e-05 4.0 724.0 741380.0
529793 512.958816409 512.096433997 0.00104364840881 513.0 512.0 524801.0
529794 512.984338403 512.321386695 0.00101803553714 513.0 512.0 524801.0
529794 504.149074435 522.629623771 0.00103413683067 504.0 523.0 536056.0
529795 512.973163962 512.120671153 0.00104336300887 513.0 512.0 524801.0
529795 504.499075294 522.820182204 0.00102963643451 504.0 523.0 536056.0
529796 504.287973762 522.689005971 0.00100591887038 504.0 523.0 536056.0
529796 512.581300616 512.071904302 0.00108505656671 513.0 512.0 524801.0
529797 534.435199618 699.421962857 2.47462715799e-05 534.0 699.0 716310.0
529797 512.662729144 512.332903266 0.00108752483508 513.0 512.0 524801.0
529797 504.030199885 522.36698544 0.00102658300222 504.0 522.0 535032.0
529798 504.334627748 522.887474418 0.00100790209757 504.0 523.0 536056.0
529798 966.680929542 516.523578525 2.64111260048e-05 967.0 517.0 530375.0
529798 512.399361968 512.444616199 0.000986760206793 512.0 512.0 524800.0
529798 901.376030564 134.016030669 2.0401710948e-05 901.0 134.0 138117.0
529799 512.527564406 512.04829371 0.00100979618017 513.0 512.0 524801.0
529799 504.503096938 522.431270242 0.0010203651449 505.0 522.0 535033.0
529800 512.415008187 512.475280166 0.00100623363258 512.0 512.0 524800.0
529800 504.321690917 522.863173842 0.000987462532708 504.0 523.0 536056.0
529801 512.683535695 512.095228791 0.00102920408534 513.0 512.0 524801.0
529801 504.448089004 522.28865993 0.00103495451275 504.0 522.0 535032.0
529802 504.247183681 522.651469827 0.000980404184924 504.0 523.0 536056.0
529802 512.87121594 512.279579043 0.00104599079318 513.0 512.0 524801.0
529803 504.100518107 522.149644971 0.000985355702092 504.0 522.0 535032.0
529803 1019.91500843 580.333816409 7.60009219139e-06 1020.0 580.0 594940.0
529803 512.461041093 512.085042119 0.00102476899515 512.0 512.0 524800.0
529804 512.35201633 512.612490058 0.00100457561303 512.0 513.0 525824.0
529804 303.66418612 1004.85125768 1.38305174866e-05 304.0 1005.0 1029424.0
529804 504.006444335 522.953895926 0.00100404182537 504.0 523.0 536056.0
529805 504.471489549 522.802311063 0.00106652833126 504.0 523.0 536056.0
529805 512.96604979 512.651566863 0.00104584947049 513.0 513.0 525825.0
529806 504.063091159 522.848624349 0.00105396680566 504.0 523.0 536056.0
529806 82.3730956316 1014.03507316 1.2789455663e-05 82.0 1014.0 1038418.0
529806 512.306020617 512.172662377 0.0010284132019 512.0 512.0 524800.0
529807 396.893493056 589.762628913 1.46590318902e-05 397.0 590.0 604557.0
529807 512.485751271 512.410252929 0.00099771540489 512.0 512.0 524800.0
529807 504.333882451 522.952925324 0.00103143111165 504.0 523.0 536056.0
529808 685.285434127 283.325991988 2.79104415363e-05 685.0 283.0 290477.0
529808 825.688157201 779.296338916 9.27585828312e-07 826.0 779.0 798522.0
529808 512.799225211 512.357869029 0.00102001584081 513.0 512.0 524801.0
529808 504.266474366 522.377876163 0.00102139314297 504.0 522.0 535032.0
529809 504.043250442 522.765517831 0.00104001692491 504.0 523.0 536056.0
529809 731.835030198 747.276258826 9.17353313411e-07 732.0 747.0 765660.0
529809 588.652686954 412.867517591 6.92967052823e-06 589.0 413.0 423501.0
529809 512.097886682 512.259284139 0.00104328484021 512.0 512.0 524800.0
529810 46.9352635145 488.720383525 1.74734676969e-05 47.0 489.0 500783.0
529810 504.788787961 522.474580884 0.00101748436084 505.0 522.0 535033.0
529810 512.802863717 512.339005589 0.0010355681032 513.0 512.0 524801.0
529810 441.547543406 199.328971982 3.3791086819e-05 442.0 199.0 204218.0
529811 504.266715884 522.491104484 0.00108770610046 504.0 522.0 535032.0
529811 512.881346822 512.284340739 0.00101844807971 513.0 512.0 524801.0
529811 726.579479814 166.247720361 2.70039077424e-06 727.0 166.0 170711.0
529812 504.122662425 522.589997172 0.00098841885495 504.0 523.0 536056.0
529812 512.761913419 512.457602143 0.00101954693054 513.0 512.0 524801.0
529813 414.597622037 160.457997441 1.69674273465e-05 415.0 160.0 164255.0
529813 504.833157659 522.223680377 0.00103232249689 505.0 522.0 535033.0
529813 512.84173429 512.052199483 0.00102939470406 513.0 512.0 524801.0
529813 856.850915551 144.804935575 1.13643254761e-06 857.0 145.0 149337.0
529814 512.975038171 512.216810107 0.000967586264816 513.0 512.0 524801.0
529814 504.555792212 522.468126178 0.0010453913488 505.0 522.0 535033.0
529815 512.463196158 512.897364497 0.00100205076026 512.0 513.0 525824.0
529815 504.350566745 522.968634963 0.000997751091604 504.0 523.0 536056.0
529815 998.029637694 731.37070024 5.09121526269e-06 998.0 731.0 749542.0
529815 72.3311322927 504.214517951 3.3649762282e-06 72.0 504.0 516168.0
529816 504.113220811 522.146407247 0.0010438138128 504.0 522.0 535032.0
529816 892.864040732 983.57405889 2.15726075371e-05 893.0 984.0 1008509.0
529816 512.330242515 512.07352674 0.00108469052996 512.0 512.0 524800.0
529817 504.200600028 522.906288743 0.00104949159669 504.0 523.0 536056.0
529817 512.257683158 512.257588029 0.00101588701512 512.0 512.0 524800.0
529818 759.860711217 29.7519239187 3.58464739254e-05 760.0 30.0 31480.0
529818 504.501403213 522.940366149 0.00102111595869 505.0 523.0 536057.0
529818 512.779058337 512.381312728 0.00100620568502 513.0 512.0 524801.0
529819 504.842242599 522.90359652 0.0010259499644 505.0 523.0 536057.0
529819 512.901054263 512.064689755 0.00103520917226 513.0 512.0 524801.0
529819 685.011341214 765.127495408 3.9595813533e-05 685.0 765.0 784045.0
529820 512.862494588 512.245488048 0.00104274794849 513.0 512.0 524801.0
529820 504.316954017 522.940716147 0.00108116650672 504.0 523.0 536056.0
529820 995.74948132 397.994615436 7.31149388149e-05 996.0 398.0 408548.0
529820 423.833019137 446.421271682 1.00966846292e-05 424.0 446.0 457128.0
529821 512.571450114 512.695722461 0.00104272410639 513.0 513.0 525825.0
529821 504.361123919 522.810970187 0.00101136781953 504.0 523.0 536056.0
529822 504.388579011 522.270063758 0.000997974505403 504.0 522.0 535032.0
529822 512.810358882 512.20407021 0.00106006527253 513.0 512.0 524801.0
529823 504.779010892 522.461478114 0.00101023451422 505.0 522.0 535033.0
529823 512.958649039 512.138660789 0.00102546971708 513.0 512.0 524801.0
529823 23.7561258078 144.96754539 1.23358972092e-05 24.0 145.0 148504.0
529824 504.226294637 522.753116965 0.00106264920695 504.0 523.0 536056.0
529824 512.336055875 512.333544612 0.00101456076071 512.0 512.0 524800.0
529825 971.168513179 752.685788274 1.6681191628e-05 971.0 753.0 772043.0
529825 504.308411956 522.749391437 0.00102597466733 504.0 523.0 536056.0
529825 512.782867789 512.008724332 0.00102295975605 513.0 512.0 524801.0
529826 1023.50149405 906.961222291 0.000102977682568 1024.0 907.0 929792.0
529826 512.517658591 512.320817113 0.000968856025627 513.0 512.0 524801.0
529826 504.046493888 522.458376527 0.00102031709418 504.0 522.0 535032.0
529827 504.33739984 522.941116929 0.00100524151432 504.0 523.0 536056.0
529827 540.345973372 441.138486266 5.00602249362e-06 540.0 441.0 452124.0
529827 646.856701016 220.407533765 2.61750076623e-05 647.0 220.0 225927.0
529827 512.746205926 512.112107635 0.000993985679907 513.0 512.0 524801.0
529828 504.402087092 522.290276647 0.00104560487182 504.0 522.0 535032.0
529828 512.480302453 512.229336381 0.000979638090981 512.0 512.0 524800.0
529829 512.628292441 512.075113893 0.00102955671135 513.0 512.0 524801.0
529829 504.511968493 522.132331252 0.00106141767114 505.0 522.0 535033.0
529829 293.322579741 417.73154819 1.42824951176e-07 293.0 418.0 428325.0
529830 512.798613667 512.051518559 0.00100644791751 513.0 512.0 524801.0
529830 504.141474843 522.826085448 0.00105922704296 504.0 523.0 536056.0
529830 700.744751811 103.136606336 8.85745713889e-07 701.0 103.0 106173.0
529831 504.196525216 522.473899484 0.00107145882501 504.0 522.0 535032.0
529831 512.352590919 512.271482825 0.00100983712927 512.0 512.0 524800.0
529832 504.009904742 522.883446097 0.00100152546348 504.0 523.0 536056.0
529832 512.497749686 512.230471253 0.00103169941501 512.0 512.0 524800.0
529833 440.383503795 539.497909665 1.04169616884e-05 440.0 539.0 552376.0
529833 512.460991025 512.373550773 0.00100883313817 512.0 512.0 524800.0
529833 504.223226905 522.720270038 0.000997643236213 504.0 523.0 536056.0
529834 504.498183608 522.330081344 0.000993047476498 504.0 522.0 535032.0
529834 190.351011634 554.257884145 7.8102461662e-07 190.0 554.0 567486.0
529834 512.670989394 512.287879348 0.00103570349656 513.0 512.0 524801.0
529835 418.422117829 915.808454394 1.45563067802e-05 418.0 916.0 938402.0
529835 504.825318456 522.810264707 0.00100119878068 505.0 523.0 536057.0
529835 512.961952806 512.508900046 0.00102727710307 513.0 513.0 525825.0
529836 504.271716475 522.889666677 0.00103402613282 504.0 523.0 536056.0
529836 512.680749297 512.35841167 0.000984738653686 513.0 512.0 524801.0
529837 504.536142468 522.823433042 0.00105090946532 505.0 523.0 536057.0
529837 512.829431653 512.013560414 0.000999623219732 513.0 512.0 524801.0
529838 504.080325723 522.771652579 0.00103244613566 504.0 523.0 536056.0
529838 512.920695186 512.141840339 0.000999005690935 513.0 512.0 524801.0
529839 504.01374805 522.928361297 0.00101858881054 504.0 523.0 536056.0
529839 512.872912526 512.321020484 0.00101921741831 513.0 512.0 524801.0
529839 128.65861547 571.557388902 2.65845346849e-05 129.0 572.0 585857.0
529840 512.648088813 512.097948432 0.00105182524919 513.0 512.0 524801.0
529840 504.090091348 522.788825154 0.00102971063473 504.0 523.0 536056.0
529841 504.503097892 522.813885331 0.00100174393634 505.0 523.0 536057.0
529841 512.584307313 512.348728776 0.00104191553673 513.0 512.0 524801.0
529842 124.948333859 460.377636075 4.12810951116e-06 125.0 460.0 471165.0
529842 512.782436728 512.632315278 0.00104427356748 513.0 513.0 525825.0
529842 197.5740906 427.818004251 1.54555411642e-05 198.0 428.0 438470.0
529842 566.555734038 698.726467013 1.36492314712e-05 567.0 699.0 716343.0
529842 504.31975162 522.769637704 0.00103733915203 504.0 523.0 536056.0
529843 512.412181497 512.191851974 0.00105418953945 512.0 512.0 524800.0
529843 662.798279643 122.061178327 1.79070230354e-05 663.0 122.0 125591.0
529843 504.186572671 522.794263721 0.00102036300676 504.0 523.0 536056.0
529844 504.355260015 522.724716306 0.000991216854088 504.0 523.0 536056.0
529844 512.863169312 512.559172034 0.00107965295103 513.0 513.0 525825.0
529845 504.493516088 522.88448298 0.00101552961262 504.0 523.0 536056.0
529845 512.639800906 512.228634477 0.0010073401013 513.0 512.0 524801.0
529845 882.64889133 691.158831716 1.40120959006e-06 883.0 691.0 708467.0
529846 357.22481811 680.394358277 2.16295625387e-05 357.0 680.0 696677.0
529846 504.336435676 522.127394319 0.00106267472295 504.0 522.0 535032.0
529846 512.612070203 512.074807286 0.00106633870868 513.0 512.0 524801.0
529847 504.548916936 522.134469628 0.00103257037862 505.0 522.0 535033.0
529847 512.569980502 512.018530488 0.00105143086322 513.0 512.0 524801.0
529847 14.1552201509 979.640440106 1.12856670864e-05 14.0 980.0 1003534.0
529848 431.720863223 459.210028052 1.33042300261e-05 432.0 459.0 470448.0
529848 504.118595004 522.916494489 0.00101593668921 504.0 523.0 536056.0
529848 512.500659585 512.067036271 0.00101011209759 513.0 512.0 524801.0
529848 573.480118871 957.355383992 0.000133479829925 573.0 957.0 980541.0
529849 512.536855817 512.858819842 0.00101084316664 513.0 513.0 525825.0
529849 504.092734694 522.896708131 0.00105793745687 504.0 523.0 536056.0
529850 512.949970603 512.289297462 0.000987278471539 513.0 512.0 524801.0
529850 504.527047992 522.615040898 0.00102917538834 505.0 523.0 536057.0
529851 512.359598279 512.169479728 0.000979767832795 512.0 512.0 524800.0
529851 504.285663962 522.763451934 0.000963170104936 504.0 523.0 536056.0
529852 504.400773168 522.233560205 0.00101460329908 504.0 522.0 535032.0
529852 512.536137938 512.067329288 0.00103673093128 513.0 512.0 524801.0
529853 504.092852473 522.526798844 0.000980602932085 504.0 523.0 536056.0
529853 80.714209199 199.159988999 1.94452737781e-05 81.0 199.0 203857.0
529853 512.942222714 512.205335498 0.00105453556005 513.0 512.0 524801.0
529854 512.775648236 512.232715249 0.0010405004714 513.0 512.0 524801.0
529854 504.5914675 522.750699401 0.000991841538478 505.0 523.0 536057.0
529854 359.201166272 612.947578311 9.27394431883e-06 359.0 613.0 628071.0
