k x y F u v cell
1107680 500.315734029 526.603671432 0.00102928190527 500.0 527.0 540148.0
1107680 253.931618333 387.80647552 1.86256538349e-05 254.0 388.0 397566.0
1107680 350.164293885 499.170012832 3.08732869445e-05 350.0 499.0 511326.0
1107680 512.529227853 512.005504727 0.00104940934872 513.0 512.0 524801.0
1107680 352.093933463 129.120555758 9.25340089756e-06 352.0 129.0 132448.0
1107681 512.530128837 512.480367541 0.000924800659991 513.0 512.0 524801.0
1107681 500.509474874 526.997369409 0.000988246405648 501.0 527.0 540149.0
1107682 512.823176742 512.233637929 0.000999765891425 513.0 512.0 524801.0
1107682 500.31139338 526.653531432 0.000959076662556 500.0 527.0 540148.0
1107683 512.760613561 512.023283124 0.00100296285801 513.0 512.0 524801.0
1107683 500.166360974 526.147271514 0.00101339214071 500.0 526.0 539124.0
1107683 980.910980344 134.368460536 4.4021133377e-06 981.0 134.0 138197.0
1107683 670.211666465 597.884199739 5.73331441783e-06 670.0 598.0 613022.0
1107684 512.344025731 512.022790551 0.000987681931679 512.0 512.0 524800.0
1107684 500.317175508 526.023007035 0.00108491492944 500.0 526.0 539124.0
1107685 512.902391315 512.550745368 0.00101672393337 513.0 513.0 525825.0
1107685 500.79528439 526.703143001 0.000990521266126 501.0 527.0 540149.0
1107686 500.176752687 526.515368819 0.00105203782777 500.0 527.0 540148.0
1107686 534.484653354 147.121991515 1.36683814625e-05 534.0 147.0 151062.0
1107686 512.977503657 512.061076045 0.00102198375306 513.0 512.0 524801.0
1107686 643.183291316 477.308466315 8.12674495907e-06 643.0 477.0 489091.0
1107686 754.027110696 362.667866111 3.84920318936e-07 754.0 363.0 372466.0
1107687 500.900238156 526.657871604 0.00100941396189 501.0 527.0 540149.0
1107687 512.411805034 512.337281346 0.00102294895849 512.0 512.0 524800.0
1107688 500.176018834 526.552374005 0.000976544995243 500.0 527.0 540148.0
1107688 65.3813668489 102.326339841 5.90487018284e-06 65.0 102.0 104513.0
1107688 298.904816747 821.876328111 3.91030851447e-05 299.0 822.0 842027.0
1107688 512.458900809 512.377972722 0.000992670792081 512.0 512.0 524800.0
1107689 512.925582528 512.817251086 0.00102210596358 513.0 513.0 525825.0
1107689 575.052510142 724.700117469 4.8603375075e-06 575.0 725.0 742975.0
1107689 500.417209268 526.876722455 0.00100630558197 500.0 527.0 540148.0
1107690 500.850268722 526.619630218 0.00102110284927 501.0 527.0 540149.0
1107690 512.928771615 512.190633893 0.000966601998207 513.0 512.0 524801.0
1107690 645.625555396 252.830431104 3.15824100745e-05 646.0 253.0 259718.0
1107691 512.753794789 512.469676852 0.0010059770859 513.0 512.0 524801.0
1107691 500.140241027 526.586446643 0.000965721261635 500.0 527.0 540148.0
1107692 590.919804454 987.428187013 3.9068444404e-05 591.0 987.0 1011279.0
1107692 500.50280416 526.246880174 0.000986667641648 501.0 526.0 539125.0
1107692 512.93985498 512.156048894 0.00102842100657 513.0 512.0 524801.0
1107693 500.503576636 526.825799584 0.000975448560994 501.0 527.0 540149.0
1107693 512.913079619 512.394963861 0.000992683738602 513.0 512.0 524801.0
1107694 500.722247005 526.779333949 0.00100190335519 501.0 527.0 540149.0
1107694 92.7797254324 796.492821574 6.4170187812e-06 93.0 796.0 815197.0
1107694 512.012023807 512.777360559 0.000927715287115 512.0 513.0 525824.0
1107694 599.61105907 393.973796248 3.28232039371e-06 600.0 394.0 404056.0
1107695 500.092547536 526.911435962 0.00103084377816 500.0 527.0 540148.0
1107695 512.423530698 512.51027 0.000964262324189 512.0 513.0 525824.0
1107696 638.425305009 375.901297927 1.04927521274e-07 638.0 376.0 385662.0
1107696 512.418148875 512.965358377 0.000982605338015 512.0 513.0 525824.0
1107696 975.755636096 896.823410392 6.25458082349e-06 976.0 897.0 919504.0
1107696 500.181611657 526.969249368 0.000985513857013 500.0 527.0 540148.0
1107697 523.678779244 839.094954371 9.63505645505e-06 524.0 839.0 859660.0
1107697 500.095844626 526.823164821 0.000946176917887 500.0 527.0 540148.0
1107697 512.431336999 512.508073449 0.00100074921094 512.0 513.0 525824.0
1107698 772.001909375 524.254107594 1.15019304416e-05 772.0 524.0 537348.0
1107698 500.400139928 526.883884311 0.00104684534155 500.0 527.0 540148.0
1107698 53.0899504423 562.515045762 2.10085508853e-06 53.0 563.0 576565.0
1107698 512.829615235 512.399134994 0.000961596008418 513.0 512.0 524801.0
1107699 512.972133994 512.473367572 0.00102271295438 513.0 512.0 524801.0
1107699 500.072018504 526.841598392 0.000976728498689 500.0 527.0 540148.0
1107700 512.705654025 512.416659474 0.000992007104368 513.0 512.0 524801.0
1107700 409.739663243 355.032134652 1.71267628136e-05 410.0 355.0 363930.0
1107700 500.150768161 526.86073029 0.00100955703032 500.0 527.0 540148.0
1107701 500.247617602 526.808993936 0.000949621444837 500.0 527.0 540148.0
1107701 45.0677067041 983.14597857 5.74826695245e-06 45.0 983.0 1006637.0
1107701 512.978231072 512.191169143 0.000980524899084 513.0 512.0 524801.0
1107702 512.401074767 512.080185771 0.00100549166462 512.0 512.0 524800.0
1107702 500.252417684 526.740830541 0.00104126300364 500.0 527.0 540148.0
1107703 500.130588174 526.158679843 0.00101015587344 500.0 526.0 539124.0
1107703 455.669350266 573.978779912 1.7948713679e-05 456.0 574.0 588232.0
1107703 512.486320376 512.144886851 0.00100981908368 512.0 512.0 524800.0
1107704 500.710244775 526.062430739 0.00101630185645 501.0 526.0 539125.0
1107704 735.032178044 664.562452197 2.53816015891e-05 735.0 665.0 681695.0
1107704 512.682689309 512.02909863 0.00104947086247 513.0 512.0 524801.0
1107705 512.561485887 512.353253007 0.00104378785015 513.0 512.0 524801.0
1107705 116.715529323 650.112016082 5.87057312136e-05 117.0 650.0 665717.0
1107705 500.42573607 526.759859681 0.000966910378576 500.0 527.0 540148.0
1107706 496.707779288 166.43999517 5.47436879065e-06 497.0 166.0 170481.0
1107706 500.220075727 526.752299905 0.000986621045514 500.0 527.0 540148.0
1107706 862.544562697 136.045094132 1.15809179586e-05 863.0 136.0 140127.0
1107706 512.3808707 512.277873158 0.000968959960433 512.0 512.0 524800.0
1107707 500.157854915 526.115694165 0.00101191767208 500.0 526.0 539124.0
1107707 512.976754069 512.311920047 0.00101804505483 513.0 512.0 524801.0
1107708 500.230573535 526.499509215 0.00100923536908 500.0 526.0 539124.0
1107708 512.76613462 512.453225017 0.000986363026601 513.0 512.0 524801.0
1107708 372.675338626 517.778656363 7.38678457608e-06 373.0 518.0 530805.0
1107708 776.275350213 1017.06101096 3.21923825677e-05 776.0 1017.0 1042184.0
1107709 512.617282271 512.708484054 0.00101008993236 513.0 513.0 525825.0
1107709 500.56678164 526.774342179 0.000993775921445 501.0 527.0 540149.0
1107710 512.521288276 512.960432649 0.0010149784949 513.0 513.0 525825.0
1107710 500.014813781 526.305936456 0.000999626874374 500.0 526.0 539124.0
1107711 512.430439115 512.480541825 0.000971371107674 512.0 512.0 524800.0
1107711 388.991716027 130.843349814 3.40335693984e-06 389.0 131.0 134533.0
1107711 500.196212173 526.575457692 0.00100069334396 500.0 527.0 540148.0
1107712 500.221877456 526.303090453 0.00104545668789 500.0 526.0 539124.0
1107712 854.716305137 680.941354394 2.75036537907e-06 855.0 681.0 698199.0
1107712 512.886927247 512.154154897 0.000971283311914 513.0 512.0 524801.0
1107713 500.908260942 526.798621058 0.00095885981428 501.0 527.0 540149.0
1107713 512.80871284 512.680522084 0.000964364604763 513.0 513.0 525825.0
1107713 418.524347663 1019.95121062 3.24108046802e-07 419.0 1020.0 1044899.0
1107713 832.922775865 248.182721257 3.15490179876e-05 833.0 248.0 254785.0
1107714 500.823979974 526.974716067 0.00102825551485 501.0 527.0 540149.0
1107714 512.963056922 512.206025243 0.0010068900556 513.0 512.0 524801.0
1107715 500.32497251 526.430912137 0.000959910886031 500.0 526.0 539124.0
1107715 512.535356402 512.2019068 0.000984395798264 513.0 512.0 524801.0
1107715 838.731171489 597.923015237 3.40806226188e-05 839.0 598.0 613191.0
1107716 500.572733283 526.686413169 0.00101962543652 501.0 527.0 540149.0
1107716 512.181995273 512.625688672 0.000932103526538 512.0 513.0 525824.0
1107716 1003.9830898 623.57552588 1.13295400897e-05 1004.0 624.0 639980.0
1107717 500.69688499 526.959807754 0.000959515628411 501.0 527.0 540149.0
1107717 512.802940965 512.550863624 0.000971102589578 513.0 513.0 525825.0
1107718 685.553768516 458.046966434 3.6660067879e-05 686.0 458.0 469678.0
1107718 500.032102704 526.878332019 0.000983506736292 500.0 527.0 540148.0
1107718 512.414677501 512.846123099 0.000967697946005 512.0 513.0 525824.0
1107719 512.663149238 512.451594234 0.000928508752393 513.0 512.0 524801.0
1107719 500.563537955 526.741772056 0.00102715567191 501.0 527.0 540149.0
1107720 500.118801713 526.860347629 0.00103291426345 500.0 527.0 540148.0
1107720 512.007210612 512.211067319 0.000944701204567 512.0 512.0 524800.0
1107721 500.47230041 526.785297513 0.000937652069264 500.0 527.0 540148.0
1107721 872.413414121 877.86795938 5.08058433623e-06 872.0 878.0 899944.0
1107721 452.033604026 297.468397975 1.29132809823e-05 452.0 297.0 304580.0
1107721 512.187021375 512.616724372 0.00103246210057 512.0 513.0 525824.0
1107722 500.01116693 526.922080398 0.00101161368279 500.0 527.0 540148.0
1107722 512.981380582 512.423062682 0.000999292315513 513.0 512.0 524801.0
1107722 450.728626847 768.212031722 8.81412028583e-06 451.0 768.0 786883.0
1107722 205.145181537 229.9588238 3.35245071194e-05 205.0 230.0 235725.0
1107723 512.525337815 512.074166179 0.00100016613635 513.0 512.0 524801.0
1107723 500.427602172 526.690631986 0.000956718802552 500.0 527.0 540148.0
1107724 512.973379493 512.33229816 0.0010263015543 513.0 512.0 524801.0
1107724 500.212942719 526.350899816 0.000974501399908 500.0 526.0 539124.0
1107724 551.965458274 55.6803501844 1.70653494106e-06 552.0 56.0 57896.0
1107725 512.362897754 512.539820075 0.000983423228577 512.0 513.0 525824.0
1107725 500.007089496 526.663024306 0.00101883425816 500.0 527.0 540148.0
1107726 500.515735269 526.792988658 0.000990964449103 501.0 527.0 540149.0
1107726 57.4700418711 878.413740754 5.80555396517e-06 57.0 878.0 899129.0
1107726 512.942281842 512.725238681 0.000967815195482 513.0 513.0 525825.0
1107727 743.278974891 423.629379392 1.69131801453e-05 743.0 424.0 434919.0
1107727 161.930596232 549.576701045 7.13747407091e-07 162.0 550.0 563362.0
1107727 512.289599299 512.342024684 0.00101810525746 512.0 512.0 524800.0
1107727 500.025565505 526.520858169 0.00101234363322 500.0 527.0 540148.0
1107728 81.7962008715 522.466766 2.23749713156e-06 82.0 522.0 534610.0
1107728 500.125082612 526.623468041 0.000977104710897 500.0 527.0 540148.0
1107728 512.316713691 512.466831326 0.00101665219864 512.0 512.0 524800.0
1107729 500.008896947 526.206439853 0.00101603380643 500.0 526.0 539124.0
1107729 46.2470494509 772.789346814 1.6547927842e-05 46.0 773.0 791598.0
1107729 512.022928834 512.147472739 0.00100266631106 512.0 512.0 524800.0
1107730 512.72818172 512.867483735 0.000965924274514 513.0 513.0 525825.0
1107730 848.58719337 932.610129952 4.25400544792e-06 849.0 933.0 956241.0
1107730 500.632093787 526.961403728 0.000954143662759 501.0 527.0 540149.0
1107730 51.1316479445 344.659456372 1.89353750804e-05 51.0 345.0 353331.0
1107731 500.517747521 526.916939139 0.00101675222975 501.0 527.0 540149.0
1107731 512.353771329 512.329266191 0.000972799664215 512.0 512.0 524800.0
1107731 691.707872033 810.313560367 3.95674003902e-06 692.0 810.0 830132.0
1107731 599.442292333 350.029816508 9.86139919431e-06 599.0 350.0 358999.0
1107732 512.191823125 512.122475505 0.000948256376634 512.0 512.0 524800.0
1107732 500.641685128 526.943041205 0.000986442434631 501.0 527.0 540149.0
1107733 512.878865838 512.542458415 0.00100461360017 513.0 513.0 525825.0
1107733 500.273869395 526.980733514 0.0010177016303 500.0 527.0 540148.0
1107734 795.259937644 558.777272582 6.49700919931e-07 795.0 559.0 573211.0
1107734 512.415844083 512.353090882 0.00100335510655 512.0 512.0 524800.0
1107734 500.022036195 526.993164182 0.00094906014824 500.0 527.0 540148.0
1107735 209.259990573 184.850680709 5.33367441069e-07 209.0 185.0 189649.0
1107735 500.546073318 526.988841414 0.00103740662198 501.0 527.0 540149.0
1107735 512.938217282 512.896947503 0.00102386532374 513.0 513.0 525825.0
1107735 117.258565545 489.722891927 4.36666032787e-06 117.0 490.0 501877.0
1107736 512.739074588 512.009620786 0.000943793676211 513.0 512.0 524801.0
1107736 500.292435527 526.031124949 0.0010002883979 500.0 526.0 539124.0
1107737 512.204182506 512.519577146 0.000995232407512 512.0 513.0 525824.0
1107737 500.121793151 526.790114045 0.00102822275609 500.0 527.0 540148.0
1107737 116.745256782 413.001056075 4.08419515757e-06 117.0 413.0 423029.0
1107738 500.744612098 526.668756127 0.00102233580432 501.0 527.0 540149.0
1107738 512.859945893 512.281601787 0.000964723744265 513.0 512.0 524801.0
1107738 687.519128442 737.346990466 4.50352457438e-06 688.0 737.0 755376.0
1107739 500.553363919 526.478176713 0.000972596032652 501.0 526.0 539125.0
1107739 512.727318406 512.365908504 0.00100491230202 513.0 512.0 524801.0
1107739 283.399675012 16.6907044649 5.29027904452e-05 283.0 17.0 17691.0
