k x y F u v cell
674240 547.591079593 758.374035001 3.31418140229e-06 548.0 758.0 776740.0
674240 510.715428948 515.877560735 0.00153692399173 511.0 516.0 528895.0
674241 510.473910689 515.473014474 0.00163373223614 510.0 515.0 527870.0
674242 510.879783034 515.855631948 0.00166969538143 511.0 516.0 528895.0
674242 243.193482041 266.407055974 1.39313900441e-05 243.0 266.0 272627.0
674243 510.886734366 515.959500909 0.0016326715133 511.0 516.0 528895.0
674244 510.361780763 515.352943301 0.00168272250136 510.0 515.0 527870.0
674245 457.549163938 231.23105824 3.43891018522e-05 458.0 231.0 237002.0
674245 510.229306102 515.070274711 0.0016444465314 510.0 515.0 527870.0
674246 376.249082446 384.16767776 1.32670226625e-05 376.0 384.0 393592.0
674246 510.214733958 515.061583877 0.00162360282127 510.0 515.0 527870.0
674247 452.032351613 784.632809281 2.58491005776e-05 452.0 785.0 804292.0
674247 510.566604733 515.982992291 0.00160029376359 511.0 516.0 528895.0
674248 264.925011516 901.039081454 2.33560191709e-05 265.0 901.0 922889.0
674248 510.675909877 515.845885396 0.00162056868879 511.0 516.0 528895.0
674249 387.329407334 463.111718535 1.36331229879e-05 387.0 463.0 474499.0
674249 511.305120349 923.99838078 7.35156758867e-06 511.0 924.0 946687.0
674249 510.736793399 515.867717385 0.00165957152879 511.0 516.0 528895.0
674249 906.198848844 140.029569268 6.64727164493e-06 906.0 140.0 144266.0
674250 510.498393655 515.960016608 0.00166152061051 510.0 516.0 528894.0
674250 288.239283681 391.29907167 3.49744709695e-07 288.0 391.0 400672.0
674250 442.073413253 809.260945916 1.60807209424e-06 442.0 809.0 828858.0
674251 510.915094733 515.251286864 0.00164743502473 511.0 515.0 527871.0
674251 601.033622861 725.332981944 4.86754206124e-05 601.0 725.0 743001.0
674252 510.28301537 515.670411229 0.00166728001871 510.0 516.0 528894.0
674252 527.794099212 280.983296275 3.27120207259e-05 528.0 281.0 288272.0
674252 872.458418727 16.1022981405 7.4686636048e-08 872.0 16.0 17256.0
674252 757.343355536 771.581977248 1.68457857301e-05 757.0 772.0 791285.0
674253 510.559369445 515.990406871 0.0016192393906 511.0 516.0 528895.0
674253 239.589984775 537.019595265 4.86840886077e-05 240.0 537.0 550128.0
674254 35.0633341074 499.260192037 1.61370912955e-05 35.0 499.0 511011.0
674254 510.277827382 515.843206525 0.00164492546465 510.0 516.0 528894.0
674255 510.049643159 515.48632133 0.00168406433085 510.0 515.0 527870.0
674256 377.045317531 394.15270102 6.67529641675e-06 377.0 394.0 403833.0
674256 510.954944968 515.247882009 0.00160215597132 511.0 515.0 527871.0
674257 662.660799146 831.394366145 5.3399703451e-06 663.0 831.0 851607.0
674257 698.767828107 324.4061836 4.00570310966e-05 699.0 324.0 332475.0
674257 865.812692046 592.883381486 3.76186306957e-06 866.0 593.0 608098.0
674257 120.079348445 536.377048612 4.15882522622e-05 120.0 536.0 548984.0
674257 510.729695439 515.842172027 0.00161454106161 511.0 516.0 528895.0
674258 950.496386409 1005.09113061 7.57136273688e-06 950.0 1005.0 1030070.0
674258 510.420321345 515.555702329 0.00159062102169 510.0 516.0 528894.0
674259 510.743309379 515.619684339 0.00164478376776 511.0 516.0 528895.0
674260 936.864679217 719.775637984 6.00678643958e-07 937.0 720.0 738217.0
674260 510.757596374 515.162749887 0.00169008211388 511.0 515.0 527871.0
