k x y F u v cell
734440 516.979070783 506.111698985 0.000473665257433 517.0 506.0 518661.0
734440 513.582256913 510.266696811 0.0013315232991 514.0 510.0 522754.0
734440 510.501631379 514.959371686 0.000476482847534 511.0 515.0 527871.0
734441 512.13277781 510.098585486 0.00134384560345 512.0 510.0 522752.0
734441 517.786144376 507.000454783 0.000383725286867 518.0 507.0 519686.0
734441 966.006085992 85.2478796244 0.000131389607327 966.0 85.0 88006.0
734441 653.991696715 18.0423043966 3.45773673759e-05 654.0 18.0 19086.0
734441 514.740029216 513.736110091 0.000304931703074 515.0 514.0 526851.0
734442 510.301316619 514.938385129 0.000248315139735 510.0 515.0 527870.0
734442 515.923412442 506.04245913 0.000332759368435 516.0 506.0 518660.0
734442 513.695026517 510.5586766 0.00151539034138 514.0 511.0 523778.0
734443 514.374604821 506.363078952 0.000409485107458 514.0 506.0 518658.0
734443 510.232951045 514.904352069 0.00042397483481 510.0 515.0 527870.0
734443 513.837417483 510.395282626 0.00137600489018 514.0 510.0 522754.0
734444 542.183272719 107.458062053 3.66149456268e-06 542.0 107.0 110110.0
734444 508.209881663 515.521037698 0.000288236632278 508.0 516.0 528892.0
734444 516.851631999 506.033204436 0.000289929916442 517.0 506.0 518661.0
734444 513.242733598 510.394641042 0.00152071442616 513.0 510.0 522753.0
734445 93.4242442846 804.601197362 1.02851497251e-05 93.0 805.0 824413.0
734445 517.586810708 506.339587569 0.000285513115446 518.0 506.0 518662.0
734445 515.395613551 513.799959779 0.000403740194291 515.0 514.0 526851.0
734445 160.749225736 911.099110484 8.14724715821e-06 161.0 911.0 933025.0
734445 512.264042497 510.691577792 0.00140528963631 512.0 511.0 523776.0
734445 107.971906066 69.8401805162 3.4126062358e-06 108.0 70.0 71788.0
734446 510.279536366 515.910072923 0.000366911140733 510.0 516.0 528894.0
734446 516.632783532 506.407791734 0.000399892321547 517.0 506.0 518661.0
734446 513.376505971 510.900137067 0.00136782717171 513.0 511.0 523777.0
