k x y F u v cell
1191960 815.898211598 549.30262959 6.96914285238e-06 816.0 549.0 562992.0
1191960 509.979215264 512.869115472 0.00182274149624 510.0 513.0 525822.0
1191961 509.05326426 512.411665559 0.001837473529 509.0 512.0 524797.0
1191961 19.1361004114 897.325906873 4.37124614163e-06 19.0 897.0 918547.0
1191962 509.372548461 512.64798367 0.00185228032111 509.0 513.0 525821.0
1191962 34.2967940569 737.294061542 0.000100652698755 34.0 737.0 754722.0
1191962 264.503010392 299.558689237 1.38752766978e-05 265.0 300.0 307465.0
1191963 523.04200995 29.860478282 2.29378488855e-06 523.0 30.0 31243.0
1191963 971.80815661 682.265995145 3.99931545509e-05 972.0 682.0 699340.0
1191963 509.691948056 512.414697289 0.00183795471926 510.0 512.0 524798.0
1191963 432.711248994 22.5983370543 5.1484798625e-05 433.0 23.0 23985.0
1191964 753.020997405 978.382119298 1.9661245687e-05 753.0 978.0 1002225.0
1191964 509.911091447 512.45769012 0.00180148285094 510.0 512.0 524798.0
1191965 509.165132403 512.740087152 0.00181827415057 509.0 513.0 525821.0
1191965 782.970087171 907.960291982 4.88028761425e-06 783.0 908.0 930575.0
1191965 592.854583621 1019.48479044 7.79678814731e-06 593.0 1019.0 1044049.0
1191965 751.27804935 534.264124513 2.14614748336e-06 751.0 534.0 547567.0
1191966 509.340151191 512.168727279 0.00182757260634 509.0 512.0 524797.0
1191966 338.236091971 540.195211291 3.14280614e-05 338.0 540.0 553298.0
1191966 462.737163186 329.430378556 4.64245823685e-05 463.0 329.0 337359.0
1191967 696.983675599 584.701642632 4.06589060123e-05 697.0 585.0 599737.0
1191967 258.306046844 507.160326362 2.79086832397e-05 258.0 507.0 519426.0
1191967 165.80875814 23.5864561796 1.06614939858e-05 166.0 24.0 24742.0
1191967 437.636295915 224.877146125 3.61164828314e-05 438.0 225.0 230838.0
1191967 509.703753114 512.299595237 0.00183379883203 510.0 512.0 524798.0
1191968 977.932734609 368.017321467 1.60439204514e-06 978.0 368.0 377810.0
1191968 509.736380935 512.385507464 0.0017843120535 510.0 512.0 524798.0
1191969 509.209052444 512.106374621 0.00184015697848 509.0 512.0 524797.0
1191970 509.071754813 512.288779616 0.00184867062861 509.0 512.0 524797.0
1191971 65.4907604456 984.708640218 4.92628399452e-05 65.0 985.0 1008705.0
1191971 509.440942883 512.047467828 0.00189186495315 509.0 512.0 524797.0
1191971 150.710685372 746.551568151 2.4500225596e-05 151.0 747.0 765079.0
1191971 101.432097316 902.18928802 4.60641198169e-06 101.0 902.0 923749.0
1191972 509.721574664 512.991049647 0.00184977512173 510.0 513.0 525822.0
1191972 16.0777138472 26.4473520517 1.51585032768e-05 16.0 26.0 26640.0
1191973 865.97661531 653.786175609 2.71001172343e-05 866.0 654.0 670562.0
1191973 509.884461522 512.590711474 0.00174956267436 510.0 513.0 525822.0
1191973 530.645477891 655.272034526 1.26323162838e-06 531.0 655.0 671251.0
1191973 107.596292615 427.222193837 8.61298902092e-06 108.0 427.0 437356.0
1191974 509.835199952 512.344232202 0.00179036569472 510.0 512.0 524798.0
1191975 509.224924922 512.645502448 0.00174251630392 509.0 513.0 525821.0
1191975 898.101590514 816.11846602 6.81907397657e-05 898.0 816.0 836482.0
1191976 847.962700963 394.513124108 3.88753267696e-07 848.0 395.0 405328.0
1191976 509.64368546 512.226550937 0.00181853361994 510.0 512.0 524798.0
1191976 894.892374873 900.528327823 5.92602715344e-06 895.0 901.0 923519.0
1191977 509.83657968 512.95828712 0.00180590171157 510.0 513.0 525822.0
1191977 378.139362216 769.983627439 2.87806657215e-05 378.0 770.0 788858.0
1191977 455.414626241 123.797274232 3.18380831908e-05 455.0 124.0 127431.0
1191978 486.054254174 270.657750249 9.27577675644e-06 486.0 271.0 277990.0
1191978 509.381714702 512.881533027 0.00186513174962 509.0 513.0 525821.0
1191979 8.99019610882 574.842804551 7.19855362598e-08 9.0 575.0 588809.0
1191979 509.166985631 512.922886014 0.00178684745883 509.0 513.0 525821.0
1191980 1000.34761679 461.117802501 1.38589169299e-05 1000.0 461.0 473064.0
1191980 509.276780248 512.120874286 0.00180406218526 509.0 512.0 524797.0
1191980 1.47775614262 582.941889167 3.97893950224e-05 1.0 583.0 596993.0
1191981 509.148579001 512.469151378 0.00182017207802 509.0 512.0 524797.0
1191981 829.627003551 307.864484191 4.68498227623e-05 830.0 308.0 316222.0
1191982 991.246087432 683.477567554 3.85403019479e-05 991.0 683.0 700383.0
1191982 234.442438245 514.988342404 6.73137636599e-05 234.0 515.0 527594.0
1191982 509.505401969 512.38935554 0.00185744303844 510.0 512.0 524798.0
1191983 509.595716834 512.808724046 0.00176728072278 510.0 513.0 525822.0
1191984 509.772959113 512.483282685 0.00176120805569 510.0 512.0 524798.0
1191984 1023.18470085 607.388429046 1.32913924275e-05 1023.0 607.0 622591.0
1191985 347.480746627 223.642895818 1.98427294839e-06 347.0 224.0 229723.0
1191985 509.819853425 512.330078006 0.00180466778739 510.0 512.0 524798.0
1191986 509.594583869 512.011921287 0.00181191088888 510.0 512.0 524798.0
1191987 509.11175096 512.580871224 0.00175326769465 509.0 513.0 525821.0
1191987 378.491238713 999.552562356 3.41199179966e-06 378.0 1000.0 1024378.0
1191987 625.572945476 576.544807315 4.07259262192e-05 626.0 577.0 591474.0
1191988 554.036668181 659.494895577 1.62979202168e-05 554.0 659.0 675370.0
1191988 204.403476834 659.745828271 1.12545222962e-05 204.0 660.0 676044.0
1191988 509.222006679 512.386486888 0.00179817701561 509.0 512.0 524797.0
1191989 509.089717746 512.94808805 0.00185428926165 509.0 513.0 525821.0
1191990 509.020155549 512.479590774 0.00181945374759 509.0 512.0 524797.0
1191990 277.214867711 837.061700463 6.14490509804e-05 277.0 837.0 857365.0
1191991 509.868465304 512.603169084 0.0018490762552 510.0 513.0 525822.0
1191992 865.373718619 78.6845957041 4.13947000588e-05 865.0 79.0 81761.0
1191992 801.437312245 313.41511929 3.1528234008e-05 801.0 313.0 321313.0
1191992 964.000501037 36.5789755583 1.82708721253e-05 964.0 37.0 38852.0
1191992 272.792255998 954.244775414 5.56106737876e-06 273.0 954.0 977169.0
1191992 509.563096404 512.789577365 0.00180826191196 510.0 513.0 525822.0
1191993 719.419827104 961.742127061 3.94327074347e-05 719.0 962.0 985807.0
1191993 719.309203506 439.905448556 4.90961830995e-05 719.0 440.0 451279.0
1191993 509.04051888 512.289411902 0.00181019332932 509.0 512.0 524797.0
1191994 509.055991769 512.035289407 0.00180408022899 509.0 512.0 524797.0
1191995 244.071010232 56.451346755 1.28730063051e-05 244.0 56.0 57588.0
1191995 509.144426227 512.306970239 0.00181716425568 509.0 512.0 524797.0
1191995 212.527130008 634.972685456 2.61303949352e-06 213.0 635.0 650453.0
1191995 434.156251073 29.4327963591 5.53763107482e-05 434.0 29.0 30130.0
1191996 427.311255097 843.324272752 4.98715944418e-05 427.0 843.0 863659.0
1191996 509.835777402 512.725105166 0.00180674525334 510.0 513.0 525822.0
1191997 190.574553609 837.998664737 1.5481665555e-06 191.0 838.0 858303.0
1191997 535.558000922 173.054247975 1.38159988029e-05 536.0 173.0 177688.0
1191997 509.55740869 512.449017882 0.00180865338452 510.0 512.0 524798.0
1191998 509.279353261 512.641356587 0.00178233686395 509.0 513.0 525821.0
1191999 157.551371217 955.289497018 8.78950776059e-06 158.0 955.0 978078.0
1191999 317.132998586 760.501574159 6.88617375208e-05 317.0 761.0 779581.0
1191999 509.656258702 512.994701743 0.00177608122869 510.0 513.0 525822.0
1192000 509.039568067 512.733581424 0.00182756312885 509.0 513.0 525821.0
1192000 886.041074395 332.197413802 5.11285654876e-06 886.0 332.0 340854.0
1192000 389.328178763 55.1385864019 3.88449163683e-05 389.0 55.0 56709.0
1192001 509.472963214 512.148554206 0.00177499147842 509.0 512.0 524797.0
1192001 292.948877454 294.438405871 8.27937752548e-05 293.0 294.0 301349.0
1192002 509.975637794 512.425757527 0.00179205645169 510.0 512.0 524798.0
1192003 509.290460944 512.846803784 0.00178573931793 509.0 513.0 525821.0
1192004 460.166337132 542.408991456 4.83201759458e-06 460.0 542.0 555468.0
1192004 509.386008859 512.652154565 0.00182635402841 509.0 513.0 525821.0
1192005 509.856573224 512.660888791 0.00180147486752 510.0 513.0 525822.0
1192006 716.700218797 98.2492970228 3.80104134234e-07 717.0 98.0 101069.0
1192006 509.627792478 512.766826272 0.00184371939938 510.0 513.0 525822.0
1192007 509.387120366 512.961810708 0.0017841553029 509.0 513.0 525821.0
1192008 509.329657197 512.970806956 0.00182208014206 509.0 513.0 525821.0
1192009 499.134000897 419.005258918 2.32787297951e-05 499.0 419.0 429555.0
1192009 509.732838273 512.121736646 0.00177760969473 510.0 512.0 524798.0
1192010 293.469943404 839.755430102 5.59534078021e-06 293.0 840.0 860453.0
1192010 509.254558206 512.113446116 0.00177519262515 509.0 512.0 524797.0
1192011 509.854876399 512.553385615 0.00178209924858 510.0 513.0 525822.0
1192011 569.152227283 950.428133607 2.32524651077e-05 569.0 950.0 973369.0
1192011 207.348411918 376.642330289 1.09141071967e-05 207.0 377.0 386255.0
1192012 509.535982966 512.207237124 0.00181831084822 510.0 512.0 524798.0
1192012 138.665374398 393.781202912 3.36888610515e-05 139.0 394.0 403595.0
1192013 509.319265008 512.474190593 0.00175829853342 509.0 512.0 524797.0
1192013 617.558956742 292.154361367 1.21651892617e-05 618.0 292.0 299626.0
1192014 509.429966331 512.518850207 0.0018339214506 509.0 513.0 525821.0
1192014 531.412150502 848.101562381 2.06269435734e-06 531.0 848.0 868883.0
1192015 92.6965247393 989.127668262 2.48612145634e-05 93.0 989.0 1012829.0
1192015 358.145453811 317.191773057 2.57866792521e-06 358.0 317.0 324966.0
1192015 509.01074183 512.283120751 0.00177904016305 509.0 512.0 524797.0
1192016 509.554592967 512.432502389 0.00180666981468 510.0 512.0 524798.0
1192017 509.394097686 512.204622388 0.00180717369734 509.0 512.0 524797.0
1192017 790.403946042 510.916228175 4.38508226216e-06 790.0 511.0 524054.0
1192018 509.319746375 512.212602258 0.00179237209252 509.0 512.0 524797.0
1192019 313.388304353 242.72409904 1.68778270971e-06 313.0 243.0 249145.0
1192019 6.61496698856 995.503648639 1.93775034194e-05 7.0 996.0 1019911.0
1192019 509.491447091 512.014703155 0.00183497517537 509.0 512.0 524797.0
1192020 953.669573903 610.791498303 3.00991615343e-07 954.0 611.0 626618.0
1192020 509.940189004 512.928428531 0.00181344768892 510.0 513.0 525822.0
1192021 509.925348639 512.392973781 0.00186192312287 510.0 512.0 524798.0
1192022 509.399354577 512.624206424 0.00183270449648 509.0 513.0 525821.0
1192023 623.250116944 1014.71051586 8.77983302047e-06 623.0 1015.0 1039983.0
1192023 841.290976167 547.338489413 3.45089107029e-05 841.0 547.0 560969.0
1192023 666.305595994 668.714220166 1.14904738658e-05 666.0 669.0 685722.0
1192023 509.074054599 512.331460595 0.00184452721768 509.0 512.0 524797.0
1192024 509.882555127 512.590258479 0.00181304479615 510.0 513.0 525822.0
1192024 212.35036695 367.129305959 3.58646942707e-05 212.0 367.0 376020.0
1192025 509.695777059 512.224024653 0.00180395772722 510.0 512.0 524798.0
1192025 281.84649241 967.865192294 1.72025492133e-05 282.0 968.0 991514.0
1192026 522.67519176 427.211426139 3.89743526773e-07 523.0 427.0 437771.0
1192026 509.94254458 512.206395984 0.00176726311616 510.0 512.0 524798.0
1192027 509.546382785 512.201829314 0.00174955299595 510.0 512.0 524798.0
1192027 712.407684207 1006.27200735 8.97199665722e-06 712.0 1006.0 1030856.0
1192027 33.95224154 978.908331275 0.000113796139614 34.0 979.0 1002530.0
1192028 509.823346496 512.334268212 0.00182028481366 510.0 512.0 524798.0
