k x y F u v cell
313040 512.33950603 512.279700398 0.00205255618411 512.0 512.0 524800.0
313040 198.812262893 550.570967555 2.86509521441e-07 199.0 551.0 564423.0
313041 512.579999328 512.602565408 0.00199528419235 513.0 513.0 525825.0
313041 751.924050212 807.854431987 8.24313502074e-05 752.0 808.0 828144.0
313042 512.296174884 512.374685884 0.00201822550191 512.0 512.0 524800.0
313042 639.087577462 914.447676539 2.32958131999e-05 639.0 914.0 936575.0
313043 736.778447747 378.146497369 2.81942031251e-06 737.0 378.0 387809.0
313043 512.740412831 512.407854199 0.0020740801532 513.0 512.0 524801.0
313043 940.025402665 415.140005469 7.52198282685e-06 940.0 415.0 425900.0
313043 739.017115235 415.734487891 5.12250296827e-06 739.0 416.0 426723.0
313043 417.143967986 999.354685426 3.79767027677e-05 417.0 999.0 1023393.0
313044 512.092169642 512.784158111 0.00205264788257 512.0 513.0 525824.0
313044 1003.87144506 103.73624599 3.78765037581e-07 1004.0 104.0 107500.0
313045 512.979320407 512.805987477 0.00198271746662 513.0 513.0 525825.0
313046 512.822787642 512.751168847 0.00202249208982 513.0 513.0 525825.0
313047 512.102025867 512.656375527 0.00197325024429 512.0 513.0 525824.0
313048 512.121658206 512.573684096 0.00202791879772 512.0 513.0 525824.0
313049 512.192258 512.678667426 0.00197367482723 512.0 513.0 525824.0
313050 512.413613915 512.942624927 0.00199501514353 512.0 513.0 525824.0
313051 512.775408387 512.183238387 0.00194053683713 513.0 512.0 524801.0
313051 384.646585822 967.921047568 3.28383456674e-05 385.0 968.0 991617.0
313052 211.312483191 629.626058459 2.84168062313e-05 211.0 630.0 645331.0
313052 512.709538817 512.424300313 0.00200857108811 513.0 512.0 524801.0
313052 481.45668757 475.605461717 4.0780314064e-06 481.0 476.0 487905.0
313053 512.606024146 512.788713813 0.00199828917378 513.0 513.0 525825.0
313054 62.7607296705 211.469403625 1.44410622309e-05 63.0 211.0 216127.0
313054 512.848113894 512.782000422 0.00200849624087 513.0 513.0 525825.0
313055 465.116111398 1013.13355005 3.86990978791e-05 465.0 1013.0 1037777.0
313055 512.017273307 512.610528827 0.00193626352342 512.0 513.0 525824.0
313056 512.754928708 512.836953998 0.00204163861044 513.0 513.0 525825.0
313056 982.25188911 147.488169551 3.41250916595e-06 982.0 147.0 151510.0
313057 512.355607867 512.101749301 0.00201684408893 512.0 512.0 524800.0
313058 603.683307528 325.813337207 8.51021802087e-05 604.0 326.0 334428.0
313058 683.317687392 517.661237121 5.75935007298e-06 683.0 518.0 531115.0
313058 512.077962041 512.815046191 0.00201360562843 512.0 513.0 525824.0
313059 512.621638417 512.763213515 0.00201118339276 513.0 513.0 525825.0
313060 512.712555051 512.811282754 0.00201050607749 513.0 513.0 525825.0
313061 546.209734082 611.498274922 3.29799283366e-05 546.0 611.0 626210.0
313061 512.626864076 512.572477937 0.0019437825334 513.0 513.0 525825.0
313062 512.143362641 512.686892152 0.00198820434704 512.0 513.0 525824.0
313063 51.4615935087 182.559944272 4.96868546456e-05 51.0 183.0 187443.0
313063 512.513117194 512.764009118 0.00204436452375 513.0 513.0 525825.0
313064 2.24837815762 58.0009437799 1.78190530951e-05 2.0 58.0 59394.0
313064 512.865175128 512.166261077 0.00208091929632 513.0 512.0 524801.0
313065 512.529626489 512.673380256 0.00199821903142 513.0 513.0 525825.0
313065 856.256225467 168.320514321 2.85225473768e-05 856.0 168.0 172888.0
313065 99.814360261 746.508481622 4.92526027191e-06 100.0 747.0 765028.0
313066 512.554455161 512.619364858 0.00198808837875 513.0 513.0 525825.0
313067 512.508654952 512.255858779 0.00193961479564 513.0 512.0 524801.0
313067 799.036770225 695.088530183 2.20165726216e-05 799.0 695.0 712479.0
313068 512.600172639 512.465155721 0.00199290521355 513.0 512.0 524801.0
313068 895.097499967 640.184614301 2.60278358851e-05 895.0 640.0 656255.0
313069 564.462015271 326.847024083 1.39259796907e-05 564.0 327.0 335412.0
313069 512.065053105 512.595017791 0.00206965870642 512.0 513.0 525824.0
313070 105.221893191 39.9430588484 2.23546523286e-05 105.0 40.0 41065.0
313070 512.685121417 512.624138236 0.00198268674347 513.0 513.0 525825.0
313071 512.858580709 512.332223058 0.00200801889042 513.0 512.0 524801.0
313072 76.3230651617 939.937063813 8.85406334149e-05 76.0 940.0 962636.0
313072 512.95023334 512.974486232 0.00201605005612 513.0 513.0 525825.0
313073 717.264737725 968.276416183 3.53169075512e-05 717.0 968.0 991949.0
313073 512.091780066 512.937847733 0.00201088434048 512.0 513.0 525824.0
313074 512.025624394 512.837970614 0.00198059324102 512.0 513.0 525824.0
313075 385.107921004 529.72993505 1.52201822149e-05 385.0 530.0 543105.0
313075 512.569946647 512.521334052 0.00203081942613 513.0 513.0 525825.0
313076 373.702803731 997.385145545 1.40957425299e-05 374.0 997.0 1021302.0
313076 512.249627471 512.473277688 0.00193486823677 512.0 512.0 524800.0
313077 996.432552457 485.550605416 2.68165567733e-05 996.0 486.0 498660.0
313077 512.447562814 512.427403331 0.00192115378087 512.0 512.0 524800.0
313078 512.747675776 512.795994163 0.00191327196697 513.0 513.0 525825.0
313078 724.597327828 522.193652749 1.30515891323e-05 725.0 522.0 535253.0
313078 1006.48589718 921.984452367 3.93884690252e-05 1006.0 922.0 945134.0
313079 512.716068864 512.694984078 0.00198515886337 513.0 513.0 525825.0
313080 512.895054936 512.481752276 0.00196278782934 513.0 512.0 524801.0
313081 285.321940064 566.415292144 2.87203655813e-05 285.0 566.0 579869.0
313081 512.276640296 512.494318366 0.00202499486031 512.0 512.0 524800.0
313082 120.638137698 976.831247687 4.01350832798e-05 121.0 977.0 1000569.0
313082 512.733057141 512.52195704 0.00201442641197 513.0 513.0 525825.0
313083 100.159643292 5.38935363293 1.96956548501e-05 100.0 5.0 5220.0
313083 1008.31706154 489.755497575 3.52821911405e-06 1008.0 490.0 502768.0
313083 813.323933482 671.638744712 2.92850281784e-05 813.0 672.0 688941.0
313083 512.537412524 512.497009397 0.00203264669266 513.0 512.0 524801.0
313084 512.027261615 512.128198743 0.0019929098472 512.0 512.0 524800.0
313085 512.077149749 512.80091989 0.00196648144916 512.0 513.0 525824.0
313085 555.43532002 911.627544522 6.86582423369e-05 555.0 912.0 934443.0
313085 606.462079883 835.129719138 5.9295516129e-06 606.0 835.0 855646.0
313085 270.559053779 32.3533648252 0.000102492400276 271.0 32.0 33039.0
313085 985.281973243 439.394955039 6.82632116593e-07 985.0 439.0 450521.0
313086 512.400054812 512.934523225 0.00197649236463 512.0 513.0 525824.0
313086 47.5107194185 316.326279759 9.42837183053e-05 48.0 316.0 323632.0
313087 512.063661695 512.148800969 0.00202313102404 512.0 512.0 524800.0
313088 512.308067203 512.989143014 0.00201312641099 512.0 513.0 525824.0
313089 164.471093774 228.940683246 3.84264344966e-06 164.0 229.0 234660.0
313089 512.190723538 512.946195006 0.00200452607496 512.0 513.0 525824.0
313090 117.822933078 40.3791788816 2.84148057687e-05 118.0 40.0 41078.0
313090 512.860847831 512.72420609 0.00201150387744 513.0 513.0 525825.0
313090 51.836093545 714.057182908 5.97135598775e-05 52.0 714.0 731188.0
313091 512.865290761 512.604352117 0.00197042409505 513.0 513.0 525825.0
313091 632.031437039 838.476265311 2.04591898608e-06 632.0 838.0 858744.0
313092 377.815474629 133.587158084 4.59036383776e-05 378.0 134.0 137594.0
313092 494.006533265 960.836331248 5.3272282533e-06 494.0 961.0 984558.0
313092 512.683044553 512.161974788 0.00202079184522 513.0 512.0 524801.0
313092 175.375786185 530.088710904 2.17741125971e-05 175.0 530.0 542895.0
313093 512.819514155 512.694777369 0.00201928530612 513.0 513.0 525825.0
313094 512.210014462 512.50849545 0.00198854165566 512.0 513.0 525824.0
313095 512.124833941 512.18340385 0.00197663953416 512.0 512.0 524800.0
313096 512.448660731 512.490769744 0.00197677946061 512.0 512.0 524800.0
313097 512.808049798 512.664734721 0.00197238543476 513.0 513.0 525825.0
313097 965.901546836 390.206378818 2.74655265277e-05 966.0 390.0 400326.0
313098 1012.47879136 408.325719476 1.27813396881e-05 1012.0 408.0 418804.0
313098 824.073275685 921.893840432 1.60820343022e-05 824.0 922.0 944952.0
313098 512.349418283 512.198843598 0.00206331531992 512.0 512.0 524800.0
313099 512.046138883 512.947968364 0.00202772133045 512.0 513.0 525824.0
313100 512.462200522 512.209665895 0.00196692276061 512.0 512.0 524800.0
313101 512.377384305 512.639199376 0.00200913401318 512.0 513.0 525824.0
313101 34.9902282953 637.691010833 1.24457505371e-06 35.0 638.0 653347.0
313102 814.452574849 80.1482855082 3.13829637136e-05 814.0 80.0 82734.0
