k x y F u v cell
854840 512.722005725 578.792480111 2.33506534792e-05 513.0 579.0 593409.0
854840 389.808187604 357.184631467 5.2772788976e-06 390.0 357.0 365958.0
854840 511.058961511 511.927024961 0.0019642025435 511.0 512.0 524799.0
854840 372.588479877 256.9181422 7.72184457888e-05 373.0 257.0 263541.0
854841 511.492546916 511.439340949 0.00199943781846 511.0 511.0 523775.0
854842 734.502596498 248.14072001 1.38304125633e-05 735.0 248.0 254687.0
854842 667.957785726 860.300063014 8.99536724488e-06 668.0 860.0 881308.0
854842 43.5206931829 349.519499898 4.2870404992e-05 44.0 350.0 358444.0
854842 511.759162307 511.699733377 0.00190289015535 512.0 512.0 524800.0
854842 144.429441571 749.357336879 2.31776714042e-05 144.0 749.0 767120.0
854843 511.955006003 511.684234738 0.00193231924794 512.0 512.0 524800.0
854844 511.564858794 511.73541677 0.00194893351029 512.0 512.0 524800.0
854845 389.934766889 432.497110486 9.38579203025e-08 390.0 432.0 442758.0
854845 511.190096259 511.128018498 0.00196944544357 511.0 511.0 523775.0
854846 511.740421176 511.083076358 0.00188099836733 512.0 511.0 523776.0
854847 319.705959439 256.333432794 8.23061554938e-06 320.0 256.0 262464.0
854847 400.672411799 265.770459771 4.60613589596e-06 401.0 266.0 272785.0
854847 511.921100497 511.902220845 0.0018652135995 512.0 512.0 524800.0
854848 89.1442168951 674.061817527 1.47355168223e-05 89.0 674.0 690265.0
854848 511.514799476 511.934105277 0.00190521851685 512.0 512.0 524800.0
854849 511.545691609 511.990984559 0.00190473159462 512.0 512.0 524800.0
854849 621.368021607 714.320163846 4.29700695926e-06 621.0 714.0 731757.0
854850 541.203968406 192.235663295 7.19482947559e-07 541.0 192.0 197149.0
854850 511.197930932 511.14086473 0.00186959803519 511.0 511.0 523775.0
854850 752.445038199 203.498476624 0.000125912906003 752.0 203.0 208624.0
854851 511.54554069 511.708048224 0.00193946895429 512.0 512.0 524800.0
854852 289.857280135 601.359402776 1.22471364059e-05 290.0 601.0 615714.0
854852 511.683511615 511.09972465 0.00194949254602 512.0 511.0 523776.0
854853 718.653305411 473.601179481 7.38779286737e-05 719.0 474.0 486095.0
854853 511.458008647 511.533267617 0.00196183416364 511.0 512.0 524799.0
854854 451.002288699 542.512381673 5.23060832865e-05 451.0 543.0 556483.0
854854 511.493761659 511.343432307 0.00191930906554 511.0 511.0 523775.0
854854 71.5794073343 86.8752757311 1.3401844527e-05 72.0 87.0 89160.0
854855 704.74303019 853.195153117 7.33226521226e-06 705.0 853.0 874177.0
854855 721.327052236 740.317879319 2.68569837695e-06 721.0 740.0 758481.0
854855 511.078082442 511.488658547 0.00196485743096 511.0 511.0 523775.0
854855 882.134763122 423.929680467 4.54617883669e-05 882.0 424.0 435058.0
