k x y F u v cell
1288280 518.525720239 498.58417356 0.000974302272197 519.0 499.0 511495.0
1288280 512.672449231 512.645314097 0.0010262910984 513.0 513.0 525825.0
1288281 518.775960326 498.535622954 0.00101026391611 519.0 499.0 511495.0
1288281 512.954592586 512.990400434 0.00102631096966 513.0 513.0 525825.0
1288282 512.459617257 512.343511462 0.00100977160021 512.0 512.0 524800.0
1288282 518.35392797 498.062406659 0.000980178604052 518.0 498.0 510470.0
1288283 518.791257501 498.125928521 0.000950700558381 519.0 498.0 510471.0
1288283 512.96114409 512.997589707 0.00105655078892 513.0 513.0 525825.0
1288284 512.886768222 512.910076976 0.00101620519149 513.0 513.0 525825.0
1288284 397.134714246 366.453523278 1.79496646321e-05 397.0 366.0 375181.0
1288284 518.38030231 498.794330955 0.00096466195222 518.0 499.0 511494.0
1288285 518.033555865 498.47482264 0.000976648044915 518.0 498.0 510470.0
1288285 512.290860534 512.607699752 0.0010173533269 512.0 513.0 525824.0
1288286 952.688812852 598.473859906 3.88737595278e-07 953.0 598.0 613305.0
1288286 512.820289016 512.60554564 0.000944262765148 513.0 513.0 525825.0
1288286 518.746722341 498.572164655 0.00104612209354 519.0 499.0 511495.0
1288287 518.658557296 498.662551761 0.00101633723729 519.0 499.0 511495.0
1288287 512.949442267 512.784724355 0.000969936034963 513.0 513.0 525825.0
1288288 512.753172994 512.946613908 0.00102386665836 513.0 513.0 525825.0
1288288 11.7537614107 460.154925704 2.96645947862e-06 12.0 460.0 471052.0
1288288 518.092622161 498.456154943 0.000974486049878 518.0 498.0 510470.0
1288289 512.573475718 512.190557361 0.000983564534072 513.0 512.0 524801.0
1288289 518.228540301 498.059607148 0.00101150064082 518.0 498.0 510470.0
1288289 83.099362731 80.9054769278 2.80944343499e-05 83.0 81.0 83027.0
1288290 512.165797591 512.921966672 0.00102404682288 512.0 513.0 525824.0
1288290 518.142665505 498.20205009 0.00101427584855 518.0 498.0 510470.0
1288291 518.113321424 498.137694955 0.00100750904866 518.0 498.0 510470.0
1288291 512.936541677 512.86943233 0.00101593660893 513.0 513.0 525825.0
1288292 518.662517428 498.315744758 0.00103362837238 519.0 498.0 510471.0
1288292 512.77346313 512.57247746 0.00106163360732 513.0 513.0 525825.0
1288293 512.944460511 512.85830009 0.000965837656195 513.0 513.0 525825.0
1288293 327.619204402 752.315963387 2.03681680284e-05 328.0 752.0 770376.0
1288293 73.2254549265 640.729884982 4.69050980769e-06 73.0 641.0 656457.0
1288293 518.344433665 498.772026658 0.000988139103082 518.0 499.0 511494.0
1288294 518.607549548 498.412669539 0.000988735455411 519.0 498.0 510471.0
1288294 578.727177739 316.489617467 1.64117124721e-05 579.0 316.0 324163.0
1288294 512.69239819 512.445463061 0.000961229173864 513.0 512.0 524801.0
1288295 1000.14458978 205.896640658 1.82320441864e-05 1000.0 206.0 211944.0
1288295 512.798170447 512.897048354 0.000972912419325 513.0 513.0 525825.0
1288295 518.35592401 498.641463637 0.00101532370855 518.0 499.0 511494.0
1288296 512.130895734 512.91590941 0.00103951487269 512.0 513.0 525824.0
1288296 518.746908307 498.682011485 0.00101074212237 519.0 499.0 511495.0
1288297 518.496420979 498.040053248 0.00105379213162 518.0 498.0 510470.0
1288297 297.363826871 697.738621593 7.27063833403e-06 297.0 698.0 715049.0
1288297 653.415646434 895.642106175 4.53117952146e-06 653.0 896.0 918157.0
1288297 512.618931651 512.994342208 0.000989812933547 513.0 513.0 525825.0
1288298 566.590040803 964.390874267 1.95572457464e-05 567.0 964.0 987703.0
1288298 936.320285678 120.527519822 1.98701748072e-05 936.0 121.0 124840.0
1288298 512.651226163 512.705114245 0.00102429984021 513.0 513.0 525825.0
1288298 518.909865975 498.034983993 0.00093494384234 519.0 498.0 510471.0
1288299 988.946105361 346.802921891 4.79242289803e-05 989.0 347.0 356317.0
1288299 512.95471704 512.372148395 0.00095779634265 513.0 512.0 524801.0
1288299 518.342522979 498.013232112 0.00100831219933 518.0 498.0 510470.0
1288300 512.982135415 512.829967141 0.000994217608847 513.0 513.0 525825.0
1288300 518.387484193 498.373408198 0.00094625340572 518.0 498.0 510470.0
